vervallenConcept,vervallenConceptName
http://digitalbuildingdata.tech/nlcs/def/f01fd796-ae69-4591-8a2d-460df2afe3f2,SVH-KANTOPSLUITING_VERLOOP_130 150X250_120X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/46ade4fc-635f-4579-9155-851432087556,SVH-KANTOPSLUITING_VERLOOP_40 120X250_120X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/8ac52be6-8535-41b6-82f4-d18de568b4c7,SVH-KANTOPSLUITING_VERLOOP_130 150X250_110 220X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/601187ac-40c6-43ca-a15a-e4d6f24ff4d0,SVH-KANTOPSLUITING_VERLOOP_40 120X250_130 150X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/e332eb03-750e-4ea8-9337-46a539dd0263,SVH-KANTOPSLUITING_VERLOOP_120X250_130 150X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/8613b64b-bc83-4b1f-875b-d962833fea7e,SVH-KANTOPSLUITING_VERLOOP_100X200_130 150X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/ada9aff3-5bce-4a0c-8d79-de6a145813c8,SVH-KANTOPSLUITING_VERLOOP_130 150X250_50 200X200_RECHTS
http://digitalbuildingdata.tech/nlcs/def/9cc64d16-b754-4e73-9a2b-ad351b90ac58,SVH-KANTOPSLUITING_VERLOOP_180 200X250_40 120X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/f69fe261-2fc1-41ae-be2d-0ea4bdb6ea5c,SVH-KANTOPSLUITING_VERLOOP_180 200X250_40 120X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/37bd39a2-8592-443c-a6e3-c7a6c32761ac,SVH-KANTOPSLUITING_VERLOOP_100X200_180 200X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/f2382228-7c27-4f5b-b1a4-4ad8ee9c0869,SVW-MARKERING_STREEP_13_030
http://digitalbuildingdata.tech/nlcs/def/4ea0c7a7-2dc9-4f14-b50c-8c4615511c6c,V-SVW-MARKERING_STREEP_13_030
http://digitalbuildingdata.tech/nlcs/def/abdd7af5-f75c-4c66-a32a-b77c243e5b94,SVH-TEGEL_500X500_BLOK_KL-SO
http://digitalbuildingdata.tech/nlcs/def/1b0da9c4-90c8-43d6-b9bb-32f6b69e02a6,SPECIAAL_SPORT_ATLETIEKBAAN
http://digitalbuildingdata.tech/nlcs/def/636b0674-6570-4376-b975-dc53f9aee850,SPECIAAL_SPORT
http://digitalbuildingdata.tech/nlcs/def/ae970c0d-452d-434a-9a72-d6fb12ca28f7,SVH-SIERTEGEL_KL-SO
http://digitalbuildingdata.tech/nlcs/def/d2e9fafe-6640-4d0e-bf2e-21d99acec745,SVH-SIERTEGEL
http://digitalbuildingdata.tech/nlcs/def/bc7dbd42-1350-4a4f-8500-1e2ba63665a3,GROND-OPPERVLAKWERK
http://digitalbuildingdata.tech/nlcs/def/b4c4e144-527b-4771-ad9f-a7e74734f623,VW-HAAIETAND50_L
http://digitalbuildingdata.tech/nlcs/def/a400984b-0d4c-416c-91ee-5d755ceed9e5,V-VW-HAAIETAND50_L
http://digitalbuildingdata.tech/nlcs/def/e0526b10-bd33-4abe-bf9a-b6df28c83571,KANTOPSLUITING_RIJWIELPADBAND
http://digitalbuildingdata.tech/nlcs/def/a52684fd-36bb-4532-a81a-92fc9542e103,B-SVH-KANTOPSLUITING_RIJWIELPADBAND_120X250-D
http://digitalbuildingdata.tech/nlcs/def/67698254-0625-4c67-b5b9-29fe74c3462e,B-SVH-KANTOPSLUITING_RIJWIELPADBAND_80X200-D
http://digitalbuildingdata.tech/nlcs/def/99af5c4f-7d7d-4c5e-99ca-0d56fcc92468,SVH-KANTOPSLUITING_RIJWIELPADBAND_80X200-D
http://digitalbuildingdata.tech/nlcs/def/ee2af2e2-1c46-4d54-9795-0be972521445,SVH-KANTOPSLUITING_RIJWIELPADBAND_120X250-D
http://digitalbuildingdata.tech/nlcs/def/eb63ebf2-2a88-481b-9d2d-a25edf4282ef,VH-RIJWIELPADBAND-SO
http://digitalbuildingdata.tech/nlcs/def/4a734342-2bfb-4d70-a163-7f321d08a4a5,V-VH-RIJWIELPADBAND-SO
http://digitalbuildingdata.tech/nlcs/def/8cc47f24-f9ed-473d-9ed9-b12596451719,SGR-GROND-SO
http://digitalbuildingdata.tech/nlcs/def/2f780a8b-40d9-41a4-bb65-ae2c1cd04fed,KANTOPSLUITING_ASFALTBAND_50X200X150
http://digitalbuildingdata.tech/nlcs/def/84d5a280-aa1d-4418-b0ad-da2b83dbfbe3,AVH-SPECIAAL_02-SO
