objectURI,id_nummer,oudLaagnaam,nieuweLaagnaam
http://digitalbuildingdata.tech/nlcs/def/94d31fb2-7cf7-492a-a2f8-d4c5667c016a,560,*_**_KG_GRENS_GEMEENTE-OPNIEUW STELLEN,*_**_KG_GRENS_GEMEENTE
http://digitalbuildingdata.tech/nlcs/def/87d4d426-6acd-44e8-bf86-eb42342d6dfb,569,*_**_KG_GRENS_OPNAME-OPNIEUW STELLEN,*_**_KG_GRENS_OPNAME
http://digitalbuildingdata.tech/nlcs/def/b2d5ee9e-050a-40fd-a12c-1d99c2c014ce,567,*_**_KG_GRENS_SECTIE-OPNIEUW STELLEN,*_**_KG_GRENS_SECTIE
http://digitalbuildingdata.tech/nlcs/def/23ed736e-a8eb-4847-a878-4d93dd1b8fea,3116,*_**_KG_GRENS_UITGEEFBAAR GEBIED-OPNIEUW STELLEN,*_**_KG_GRENS_UITGEEFBAAR GEBIED
http://digitalbuildingdata.tech/nlcs/def/2dcf7435-e092-4375-87e5-fd41d1d006c7,3113,*_**_KG_GRENS_WIJZIGING-OPNIEUW STELLEN,*_**_KG_GRENS_WIJZIGING
http://digitalbuildingdata.tech/nlcs/def/749edd94-c8af-42e4-a1dc-719b596fe41b,558,*_**_KG_GRENS_LAND-OPNIEUW STELLEN,*_**_KG_GRENS_LAND
http://digitalbuildingdata.tech/nlcs/def/47e85a06-83c8-4a65-8788-6fcd743dad77,562,*_**_KG_GRENS_BESTEMMINGSPLAN-OPNIEUW STELLEN,*_**_KG_GRENS_BESTEMMINGSPLAN
http://digitalbuildingdata.tech/nlcs/def/f087d565-bb8d-4535-881d-e1f94ef46e8a,563,*_**_KG_GRENS_GRONDWATERBESCHERMINGSGEBIED-OPNIEUW STELLEN,*_**_KG_GRENS_GRONDWATERBESCHERMINGSGEBIED
http://digitalbuildingdata.tech/nlcs/def/d8ddae75-c5a5-4c38-a77b-d7cd4d2dcc80,568,*_**_KG_GRENS_RIJKSEIGENDOM-OPNIEUW STELLEN,*_**_KG_GRENS_RIJKSEIGENDOM
http://digitalbuildingdata.tech/nlcs/def/35f1dc71-ef45-4dff-903d-2b052c13bc32,3111,*_**_KG_GRENS_VLAKAFSLUITER-OPNIEUW STELLEN,*_**_KG_GRENS_VLAKAFSLUITER
http://digitalbuildingdata.tech/nlcs/def/85e3b2a4-2f89-4393-b16b-3106569fc1b7,3112,*_**_KG_GRENS_WIJK-OPNIEUW STELLEN,*_**_KG_GRENS_WIJK
http://digitalbuildingdata.tech/nlcs/def/43d2d502-10d1-4828-87e3-a078f0883c53,564,*_**_KG_GRENS_PACHT-OPNIEUW STELLEN,*_**_KG_GRENS_PACHT
http://digitalbuildingdata.tech/nlcs/def/f966fff9-a707-49d5-b8d4-10e7d2c64e6a,3507,*_**_KG_GRENS_AANKOOP-OPNIEUW STELLEN,*_**_KG_GRENS_AANKOOP
http://digitalbuildingdata.tech/nlcs/def/f806a300-6b16-4ce5-b411-481763857457,559,*_**_KG_GRENS_PROVINCIE-OPNIEUW STELLEN,*_**_KG_GRENS_PROVINCIE
http://digitalbuildingdata.tech/nlcs/def/326e8342-cbe9-4c7f-831d-c6f5e17f7fdb,570,*_**_KG_GRENS_OVERHOEK-OPNIEUW STELLEN,*_**_KG_GRENS_OVERHOEK
http://digitalbuildingdata.tech/nlcs/def/b7f757bd-8393-4773-a563-8ba61302b695,3117,*_**_KG_GRENS_VERKOOP-OPNIEUW STELLEN,*_**_KG_GRENS_VERKOOP
http://digitalbuildingdata.tech/nlcs/def/0d1fc38a-12fd-4196-b5bd-ac0b519d9ad9,561,*_**_KG_GRENS_WATERSCHAP-OPNIEUW STELLEN,*_**_KG_GRENS_WATERSCHAP
http://digitalbuildingdata.tech/nlcs/def/6f6700fc-4d9c-4a13-98e6-ad10a480080b,3508,*_**_KG_GRENS_ONTEIGENING-OPNIEUW STELLEN,*_**_KG_GRENS_ONTEIGENING
http://digitalbuildingdata.tech/nlcs/def/fd3323d1-064d-411d-a345-ddb0fe7ded12,599,*_**_KG_GRONDEIGENDOM_RIJK-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_RIJK
http://digitalbuildingdata.tech/nlcs/def/b435595e-9f7b-4836-9e76-bc6ed75e6f4a,606,*_**_KG_GRONDEIGENDOM_PROVINCIE-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_PROVINCIE
http://digitalbuildingdata.tech/nlcs/def/30335d0f-f54d-433e-80da-e449c7d6b35f,607,*_**_KG_GRONDEIGENDOM_GEMEENTE-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_GEMEENTE
http://digitalbuildingdata.tech/nlcs/def/11fb48a9-674a-4e29-8d9c-6a2293b5e33f,610,*_**_KG_GRONDEIGENDOM_PARTICULIER-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_PARTICULIER
http://digitalbuildingdata.tech/nlcs/def/81b7aab0-a696-498f-ada8-5cb82440e06f,609,*_**_KG_GRONDEIGENDOM_WATERSCHAP-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_WATERSCHAP
http://digitalbuildingdata.tech/nlcs/def/53abcc33-e8b7-4349-a04c-eca7b73e7d69,608,*_**_KG_GRONDEIGENDOM_PRORAIL-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_PRORAIL
http://digitalbuildingdata.tech/nlcs/def/4356b60f-236c-4c35-adfa-1c86f0335cb9,576,*_**_KG_BEHEERGRENS_WATERSCHAP-OPNIEUW STELLEN,*_**_KG_BEHEERGRENS_WATERSCHAP
http://digitalbuildingdata.tech/nlcs/def/4d5b0648-41eb-4b6f-af17-9cb32b0a057e,573,*_**_KG_BEHEERGRENS_PROVINCIE-OPNIEUW STELLEN,*_**_KG_BEHEERGRENS_PROVINCIE
http://digitalbuildingdata.tech/nlcs/def/33f9a342-189e-48d5-8c89-4cb21de28346,574,*_**_KG_BEHEERGRENS_GEMEENTE-OPNIEUW STELLEN,*_**_KG_BEHEERGRENS_GEMEENTE
http://digitalbuildingdata.tech/nlcs/def/082792c8-6df9-4f7e-a563-242c651c4014,577,*_**_KG_BEHEERGRENS_RIJK-OPNIEUW STELLEN,*_**_KG_BEHEERGRENS_RIJK
http://digitalbuildingdata.tech/nlcs/def/dad36154-7b58-4f56-a549-d83f0c359c32,575,*_**_KG_BEHEERGRENS_PRORAIL-OPNIEUW STELLEN,*_**_KG_BEHEERGRENS_PRORAIL
http://digitalbuildingdata.tech/nlcs/def/4080d26d-8056-4289-bd37-0c27b1594e62,589,*_**_KG_BENOGRENS_PRORAIL-OPNIEUW STELLEN,*_**_KG_BENOGRENS_PRORAIL
http://digitalbuildingdata.tech/nlcs/def/4b2e86f0-c4d5-4e01-8d20-14148895173c,591,*_**_KG_BENOGRENS_RIJK-OPNIEUW STELLEN,*_**_KG_BENOGRENS_RIJK
http://digitalbuildingdata.tech/nlcs/def/4e2b7460-9e8e-4ef3-8ab2-60a76cdb97a1,590,*_**_KG_BENOGRENS_WATERSCHAP-OPNIEUW STELLEN,*_**_KG_BENOGRENS_WATERSCHAP
http://digitalbuildingdata.tech/nlcs/def/9f2d7d23-298a-4b36-8fcb-6161339b3076,588,*_**_KG_BENOGRENS_GEMEENTE-OPNIEUW STELLEN,*_**_KG_BENOGRENS_GEMEENTE
http://digitalbuildingdata.tech/nlcs/def/6dd71645-43f7-4095-801e-715d9c6749a9,587,*_**_KG_BENOGRENS_PROVINCIE-OPNIEUW STELLEN,*_**_KG_BENOGRENS_PROVINCIE
http://digitalbuildingdata.tech/nlcs/def/bc04ffe1-42f1-4a18-a15a-4ffa7dcb4066,4035,*_**_KG_KADASTRAAL_PAND-OPNIEUW STELLEN,*_**_KG_KADASTRAAL_PAND
http://digitalbuildingdata.tech/nlcs/def/731977ba-d130-4d14-8be9-ae757f4329cf,615,*_**_KG_KADASTRAAL_NOK-OPNIEUW STELLEN,*_**_KG_KADASTRAAL_NOK
