"FASE","sBIB","SYMBOOL","SYMBOOL_alt","ID","opt","STATUS","VRKL_KORT","VRKL_LANG"
"","SVH","SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_1200X500_RUITPROFIE","1169","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIE","1171","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X1000","SVH:SVH-DREMPEL_PREFAB_2400X100","1182","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1750X1200","SVH:SVH-DREMPEL_PREFAB_1750X120","1179","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X1200","SVH:SVH-DREMPEL_PREFAB_2400X120","1184","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIE","1163","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIE","1167","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1750X1000_LINKS","SVH:SVH-DREMPEL_PREFAB_1750X1000_LINK","1177","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_3000X1000","SVH:SVH-DREMPEL_PREFAB_3000X100","1194","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_1500X600_RUITPROFIE","1173","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIE","2167","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_BUS_RECHTS","SVH:T-SVH-DREMPEL_PREFAB_BUS_RECHT","2198","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIE","2163","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_BUS_LINKS","SVH:T-SVH-DREMPEL_PREFAB_BUS_LINK","2197","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X1000","SVH:T-SVH-DREMPEL_PREFAB_1200X100","2162","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X600","SVH:B-SVH-DREMPEL_PREFAB_1500X60","1131","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X500","SVH:T-SVH-DREMPEL_PREFAB_1200X50","2164","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_4000X500","SVH:V-SVH-DREMPEL_PREFAB_4000X50","2234","","*","",""
