"lijnkleurURI,""id"",""fase"",""nummer"",""hex"",""R"",""G"",""B"",""optie"""
"http://digitalbuildingdata.tech/nlcs/def/84af4a7d-83b6-4e03-bc6e-c76715919d94,""183"",""13"",""83"",""#8DBD7E"",""141"",""189"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/cf5860d7-f656-48d6-b8af-40230602ea7a,""184"",""14"",""84"",""#1F8100"",""31"",""129"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/627e5ee5-15c3-45a1-850c-ebeccdbae48e,""185"",""15"",""85"",""#608156"",""96"",""129"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/02e85974-f998-4c41-a164-9b517b37b3d8,""186"",""16"",""86"",""#196800"",""25"",""104"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/2cdc7d03-3bbd-439e-a436-e04e12833bfb,""187"",""17"",""87"",""#4E6845"",""78"",""104"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/07ed44b3-7754-4766-bb1f-5583342623c8,""188"",""18"",""88"",""#134F00"",""19"",""79"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/802941b5-791c-4459-a1ed-fe778007279f,""189"",""19"",""89"",""#3B4F35"",""59"",""79"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/cf718540-a6e5-4550-899c-e01d5fee1282,""190"",""10"",""90"",""#00FF00"",""0"",""255"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/1e7b42e0-da5d-452d-a4d8-c745db999428,""191"",""11"",""91"",""#AAFFAA"",""170"",""255"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/0b6b2ec1-03b1-4053-97c4-2d8e20e332c1,""192"",""12"",""92"",""#00BD00"",""0"",""189"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/0532dee1-8fa6-4cd8-80a3-8e36913def0f,""193"",""13"",""93"",""#7EBD7E"",""126"",""189"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/51463dd9-8eda-4160-b4d4-e0d7858e56c3,""194"",""14"",""94"",""#008100"",""0"",""129"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/d8546d00-bd57-4449-9c70-ff366462148f,""195"",""15"",""95"",""#568156"",""86"",""129"",""86"","""""
