symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,optie,fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/208dc921-3159-465a-b44c-a52010975cc1,3916.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-GRIND_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-GRIND_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/978fce3e-8fdc-4dec-98f1-e728cffa3d59,3917.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-HALFVERHARDING_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-HALFVERHARDING_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/eac8b9e6-0d08-407e-b5c6-465d7ee4b286,3918.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-HALFVERHARDING_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-HALFVERHARDING_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/02643915-7397-434c-9b5b-252a20841d6e,3919.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-HALFVERHARDING_GRIND_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-HALFVERHARDING_GRIND_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d2293c19-bd35-42dd-baf6-3bdab4d084eb,392.0,SGR,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5e1a4fd3-ed90-42b7-b26b-690189aa9f55,V,V-SGR-BOOM_30,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGR/V-SGR-BOOM_30.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ad00ec17-9d1f-4925-9d9f-842f832113fd,3920.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-HALFVERHARDING_GRIND_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-HALFVERHARDING_GRIND_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a86f1ca6-90d6-49aa-ab63-03cca8ec5291,3921.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-HALFVERHARDING_SCHELPEN_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-HALFVERHARDING_SCHELPEN_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a3d47b1b-4dd8-4a4c-b4dc-b6d1f910abb8,3922.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-HOUTSNIPPERS_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-HOUTSNIPPERS_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf425425-b8a7-408a-baaa-47406ad8e320,3923.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-HSTEEN_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-HSTEEN_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0a8ff6f6-11b2-4928-93bb-5497cc4b9c48,3924.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-KALKZANDSTEEN-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-KALKZANDSTEEN-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/295e1b3e-4085-48d0-9ab9-801c13168fe2,3925.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-KALKZANDSTEEN_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-KALKZANDSTEEN_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e14cfb12-ebba-4a33-9279-1a2c0a40203a,3926.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-METSELWERK_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-METSELWERK_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/329857d5-39be-49f2-9ead-12947a9b167d,3927.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-NATUURSTEEN_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-NATUURSTEEN_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/09998341-b4c1-4b8d-9701-81d336859126,3928.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-NATUURSTEEN_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-NATUURSTEEN_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/71e33e69-c9a9-41e0-818e-1a8bd488a723,3929.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,,SVH-NATUURSTEEN_KINDERKOP_HALFST_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-NATUURSTEEN_KINDERKOP_HALFST_KL-SO.dwg
