"FASE","BIB","SYMBOOL","ID"
"","SVH","SVH-KANTOPSLUITING_HOEKSTUK_INWENDIG_70X200","1273"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_280 300-D","3351"
"B","SVH","B-SVH-KANTOPSLUITING_TROTTOIRBAND_130 250-D","3243"
"B","SVH","B-SVH-KANTOPSLUITING_GAZONBAND_100X200-D","2435"
"","SVH","SVH-KANTOPSLUITING_RWS_110 220X250-D","2403"
"B","SVH","B-SVH-KANTOPSLUITING_GELEIDEBAND_3740-D","2444"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_150X300-D","2375"
"","SVH","SVH-KANTOPSLUITING_INRITBAND_160X600X500-D","2359"
"B","SVH","B-SVH-KANTOPSLUITING_RWS_110 220X200-D","2491"
"","SVH","SVH-KANTOPSLUITING_TROTTOIRBAND_75 150X200-D","2420"
"B","SVH","B-SVH-KANTOPSLUITING_GELEIDEBAND_60_130 150X250-D","3378"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_80 160X100-D","3426"
"","SVH","SVH-KANTOPSLUITING_HOEKBLOK_INWENDIG_180 200X45_ROND","2753"
"B","SVH","B-SVH-KANTOPSLUITING_GAZONBAND_50 150X70X500-D","3233"
"B","SVH","B-SVH-KANTOPSLUITING_INRITBAND_160X450X500-D","2446"
"","SVH","SVH-KANTOPSLUITING_TALUDBAND_380X300-D","2428"
"B","SVH","B-SVH-KANTOPSLUITING_GELEIDEBAND_70_150X250-D","3382"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_200 250X350-D","3403"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_110 250-D","3350"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_110 220-D","3349"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_260 300X160-D","3415"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_230 460X450-D","3413"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_360 400X200-D","3417"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_160 200X180-D","3401"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_100 300X70-D","3391"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_80 160X100-D","3425"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_150 390X130-D","3399"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_470 500X100-D","3419"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_130 470X280-D","3397"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_50 250X120-D","3423"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_220 440X250-D","3411"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_180 200-D","2405"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_115 345X200-D","3395"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_470 500X200-D","3421"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_110 220X130 150-D","2404"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_300X200-D","3352"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_100 300X100-D","3389"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_120X250-D","2373"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_60X200-D","2382"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_100X400-D","2372"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_100X150-D","2369"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_50X150-D","2380"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_70 200-D","3347"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_300X250-D","2379"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_100X200-D","2370"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_200X250-D","2377"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_80X200-D","2383"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_100X300-D","2371"
"","SVH","SVH-KANTOPSLUITING_INRITBAND_160X500X500-D","2358"
"","SVH","SVH-KANTOPSLUITING_INRITBAND_200X650X300-D","2362"
"","SVH","SVH-KANTOPSLUITING_INRITBAND_200X600X300-D","2361"
"","SVH","SVH-KANTOPSLUITING_INRITBAND_160X450X500-D","2357"
"","SVH","SVH-KANTOPSLUITING_INRITBAND_170X520-D","2360"
"","SVH","SVH-KANTOPSLUITING_INRITBAND_160X450-D","2356"
"B","SVH","B-SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_180 200X160-D","2477"
"B","SVH","B-SVH-KANTOPSLUITING_BUSHALTEBAND-D","3343"
"","SVH","SVH-KANTOPSLUITING_RWS_ZOABBAND_110 220X250-D","2706"
"","SVH","SVH-KANTOPSLUITING_PWS_250 130X200-D","2396"
"","SVH","SVH-KANTOPSLUITING_PWS_250 130X250-D","2397"
"","SVH","SVH-KANTOPSLUITING_HOEKSTUK_INWENDIG_100X200","1267"
"B","SVH","B-SVH-KANTOPSLUITING_RWS_ZOABBAND_110 220X250-D","2707"
"","SVH","SVH-KANTOPSLUITING_TROTTOIRBAND_190 220X160-D","2418"
"","SVH","SVH-KANTOPSLUITING_VERLOOP_100X200_130 150X250_LINKS","1283"
"","SVH","SVH-KANTOPSLUITING_STOOTBAND_200X200-D","2408"
"B","SVH","B-SVH-KANTOPSLUITING_OPSLUITBAND_80X200-D","2472"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_220 440X250-D","3412"
"","SVH","SVH-KANTOPSLUITING_INRITPERRONBAND_200X250-D","2705"
"","SVH","SVH-KANTOPSLUITING_LEICONBAND_F25_4-D","2366"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_110 220-D","3238"
"B","SVH","B-SVH-KANTOPSLUITING_PLAKBAND_130 150X120-D","2481"
"","SVH","SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_180 200X250-D","2389"
"","SVH","SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_130 150X250-D","2387"
"","SVH","SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_110 220X250-D","2385"
"","SVH","SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_110 220X160-D","2384"
"","SVH","SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_180 200X160-D","2388"
"","SVH","SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_130 150X160-D","2386"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_50 250X120-D","3424"
"","SVH","SVH-KANTOPSLUITING_STOOTBAND_100X250-D","2406"
"","SVH","SVH-KANTOPSLUITING_LEICONBAND_F25_8-D","2367"
"","SVH","SVH-KANTOPSLUITING_STOOTBAND_250X250-D","2409"
"B","SVH","B-SVH-KANTOPSLUITING_PLAKBAND_80 160X100-D","2483"
"","SVH","SVH-KANTOPSLUITING_PLAKBAND_130 150X120-D","2392"
"B","SVH","B-SVH-KANTOPSLUITING_GELEIDEBAND_50_200X150-D","3370"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_100 300X100-D","3390"
"B","SVH","B-SVH-KANTOPSLUITING_TROTTOIRBAND_180 200X250-D","2506"
"","SVH","SVH-KANTOPSLUITING_HOEKSTUK_INWENDIG_180 200X40","1271"
"B","SVH","B-SVH-KANTOPSLUITING_TALUDBAND_380X300-D","2517"
"","SVH","SVH-KANTOPSLUITING_VERLOOP_180 200X250_110 220X250_RECHTS","1298"
"B","SVH","B-SVH-KANTOPSLUITING_OPSLUITBAND_50X150-D","2469"
"","SVH","SVH-KANTOPSLUITING_TROTTOIRBAND_130 150X200-D","2412"
