nlcs_term;nlcs_name;imbor_term;imbor_name;imbor_definition
http://digitalbuildingdata.tech/nlcs/term/e4ce70b8-e518-4731-967c-5022e8a3f843;AFSCHERMINGLICHT;https://data.crow.nl/imbor/term/9a861f6c-ea8c-424e-99e3-b3a6d00feda9;Faunavoorziening;Voorzieningen die geschikt zijn om diersoorten te beschermen. Denk hierbij aan faunatunnels, -goten, -duikers, etc.
http://digitalbuildingdata.tech/nlcs/term/4a165abd-4df5-40d0-8511-a7821455ba35;WILDWISSEL;https://data.crow.nl/imbor/term/9a861f6c-ea8c-424e-99e3-b3a6d00feda9;Faunavoorziening;Voorzieningen die geschikt zijn om diersoorten te beschermen. Denk hierbij aan faunatunnels, -goten, -duikers, etc.
http://digitalbuildingdata.tech/nlcs/term/62a79b36-60c9-41b7-9d52-9d6995832b0d;BRUGDUIKERMETFAUNAVOORZIENING;https://data.crow.nl/imbor/term/9a861f6c-ea8c-424e-99e3-b3a6d00feda9;Faunavoorziening;Voorzieningen die geschikt zijn om diersoorten te beschermen. Denk hierbij aan faunatunnels, -goten, -duikers, etc.
http://digitalbuildingdata.tech/nlcs/term/592235fb-1d98-4f1b-a12f-fef1c131e587;GEMENGD;https://data.crow.nl/imbor/term/a9cfaada-4099-48c9-85e3-728fc1268f14;Gemengd bos;Terreindeel begroeid met een dusdanig aantal naald- en loofbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen. (Bron: definities.geostandaarden.nl)
http://digitalbuildingdata.tech/nlcs/term/55d62ed0-6ed4-4f11-b8d6-55ced747f910;BIMS;https://data.crow.nl/imbor/term/f1eab055-8bcd-4a2f-ae2b-04d330395942;Bims;Een vulkanisch gesteente met een grote mate van porositeit dat gebruikt wordt in de vorm van een licht ophoogmateriaal door de grond-, weg- en waterbouw.
http://digitalbuildingdata.tech/nlcs/term/0f5275f6-f8ea-4a62-9900-f59d81ad7302;SIRENE;https://data.crow.nl/imbor/term/a65a61d1-2a30-465d-8b27-910ac9c1771b;Sirene;Apparaat dat geluiden van variabele toonhoogte kan voortbrengen met als functie waarschuwingsdoeleinden.
http://digitalbuildingdata.tech/nlcs/term/72165919-a8fd-403c-b09e-29cb07c6beab;SLAGBOOM;https://data.crow.nl/imbor/term/be5f2252-e7f6-44c2-9715-c9778c87f1cc;Slagboominstallatie;Boom of balk om de weg of een gedeelte daarvan af te sluiten inclusief de bijbehorende installatie om de boom te bedienen.
http://digitalbuildingdata.tech/nlcs/term/23845900-6036-4275-8b29-9615222ec527;PYLOON;https://data.crow.nl/imbor/term/90b4141c-02a2-49ed-a8b6-94d18730bb32;Pyloon;Boven de bovenbouw uitstekende draagconstructie voor tuien.
http://digitalbuildingdata.tech/nlcs/term/525d059d-ff60-4d33-9fe2-5ce175f10f9c;MEERPAAL;https://data.crow.nl/imbor/term/d52a1ace-4e2c-4107-b221-d55b74b7187f;Meerpaal;Paal voor een kade of in een haven waaraan een schip kan worden afgemeerd.
http://digitalbuildingdata.tech/nlcs/term/a14c59ec-6676-4e37-9395-4d9753ecabf4;HOOGOVEN;https://data.crow.nl/imbor/term/68c0e0b9-d50e-4f81-b871-d5607d3fff15;Hoogovenslakkenzand;Een zeer fijn mengsel van hoogovenslakken, bijproducten van het smelten van ijzererts met cokes die in zeef- en breekinstallaties tot een materiaal voor onderlagen van verharding worden omgevormd.
http://digitalbuildingdata.tech/nlcs/term/b7cee33e-3e98-4186-a696-c8945581a46b;HALTEPAAL;https://data.crow.nl/imbor/term/3d0646a7-cda3-4097-ac77-df8af2d41f01;Haltepaal;Paal met daarop de dienstregeling ten behoeve van het openbaar vervoer.
http://digitalbuildingdata.tech/nlcs/term/6dfc6a29-9ef2-4bec-a902-a52d3d7df6e0;GAZONBAND;https://data.crow.nl/imbor/term/e294009d-837c-455d-8711-3fcd1a4275fa;Gazonband;Element dat de scheiding verzorgt tussen een rijbaan of een ander stuk weg, bijvoorbeeld een voetpad, en een gazonperk.
http://digitalbuildingdata.tech/nlcs/term/e0e6e2b7-08a6-4891-b6fd-c98e267e12d0;LED;https://data.crow.nl/imbor/term/78bd320c-3d62-4ac2-a503-0473a20c9531;LED-lamp;Een lamp die is opgebouwd uit licht-emitterende diodes en zuiniger is dan conventionele lampen.
http://digitalbuildingdata.tech/nlcs/term/a19e7fff-4af4-4508-bc34-7da309b83b5c;OPSLUITBAND;https://data.crow.nl/imbor/term/cabc315a-af89-4c26-bd34-4fa250035924;Opsluitband;Element dat de scheiding verzorgt tussen twee oppervlakten die verschillen in fysiek voorkomen of gebruik.
http://digitalbuildingdata.tech/nlcs/term/5b1222b7-5fb8-4d65-b893-c53b1023b74c;ASFALTBAND;https://data.crow.nl/imbor/term/cabc315a-af89-4c26-bd34-4fa250035924;Opsluitband;Element dat de scheiding verzorgt tussen twee oppervlakten die verschillen in fysiek voorkomen of gebruik.
http://digitalbuildingdata.tech/nlcs/term/3d17505f-5e9e-49c4-aabe-4af24b967cf7;RWS;https://data.crow.nl/imbor/term/cabc315a-af89-4c26-bd34-4fa250035924;Opsluitband;Element dat de scheiding verzorgt tussen twee oppervlakten die verschillen in fysiek voorkomen of gebruik.
http://digitalbuildingdata.tech/nlcs/term/76a10b82-0eb7-4a23-914d-967a43016176;AMSTELBAND;https://data.crow.nl/imbor/term/cabc315a-af89-4c26-bd34-4fa250035924;Opsluitband;Element dat de scheiding verzorgt tussen twee oppervlakten die verschillen in fysiek voorkomen of gebruik.
http://digitalbuildingdata.tech/nlcs/term/eea91972-f789-489b-a695-2cbb6122ee22;GK;https://data.crow.nl/imbor/term/ef753d95-a782-4bb7-ad2d-1396d4b5ee08;Keren van grond;Het object wordt gebruikt om grond te keren.
http://digitalbuildingdata.tech/nlcs/term/21c754e7-df58-4e72-8f03-e39d4afa4224;INSPRINGVOORZIENING;https://data.crow.nl/imbor/term/bd6da504-fc2e-44a0-bb2c-10bca51ea208;Insprong;Een insprong is een plaatselijke verhoging langs een faunaraster of bij een faunapoort, in de vorm van een met grond gevulde schans of oploopheuvel.
http://digitalbuildingdata.tech/nlcs/term/a4b6e2b5-19f3-4ed6-8505-e9e6cd18da86;SIGNALERINGSBAND;https://data.crow.nl/imbor/term/c58c3761-3476-4eb2-8734-5962399931cc;Signaleringsband;Een kantopsluiting met ingebouwde signaleringselementen, bijvoorbeeld oogreflectoren.
http://digitalbuildingdata.tech/nlcs/term/0441af6d-ac24-411a-99fb-902eb4f65e41;METAAL;https://data.crow.nl/imbor/term/78106f1f-ff50-49b9-98ab-92dc4791229e;Metaal;Een verzamelnaam voor bepaalde elementen uit het periodiek systeem.
http://digitalbuildingdata.tech/nlcs/term/91cdbb8b-c1d0-4e69-a193-10ed01327401;HOEKBLOK;https://data.crow.nl/imbor/term/e8b4eb57-22e9-4e70-ad60-bf11549bd667;Hoekblok;Blokvormig, soms afgerond, element, meestal van beton of steen, dat wordt gebruikt voor het maken van hoeken in bandconstructies.
http://digitalbuildingdata.tech/nlcs/term/ce2ec6b8-36fa-4f29-9a81-0293857c4cdd;HOEKSTUK;https://data.crow.nl/imbor/term/e8b4eb57-22e9-4e70-ad60-bf11549bd667;Hoekblok;Blokvormig, soms afgerond, element, meestal van beton of steen, dat wordt gebruikt voor het maken van hoeken in bandconstructies.
http://digitalbuildingdata.tech/nlcs/term/296bbde7-c6d7-4ddc-ad57-4c34d652c635;COBBLESTONE;https://data.crow.nl/imbor/term/c50bd637-0024-49dc-b69c-57458742322b;Kei;Type gedetailleerd van elementenverharding, natuursteen: vlak bestaande uit keien.
http://digitalbuildingdata.tech/nlcs/term/296bbde7-c6d7-4ddc-ad57-4c34d652c635;COBBLESTONE;https://data.crow.nl/imbor/term/3fa62e0c-f682-46aa-aa66-c015f58fc9c7;Kei;Afgeronde stenen van diverse soorten materiaal die gebruikt kunnen worden als oppervlakteverharding.
http://digitalbuildingdata.tech/nlcs/term/a9bf1f24-1247-4561-9a2b-c9c82d5ac05c;NATUURSTEEN;https://data.crow.nl/imbor/term/05a59306-1581-43b8-a7f4-5d07b95f1b8b;Natuursteen;Type van elementenverharding, verharding bestaande uit elementen van natuursteen.
http://digitalbuildingdata.tech/nlcs/term/a9bf1f24-1247-4561-9a2b-c9c82d5ac05c;NATUURSTEEN;https://data.crow.nl/imbor/term/4067513d-bc02-4ec8-bfae-f6902497376d;Natuursteen;Natuursteen is een gesteente, dat in de natuur wordt aangetroffen en dat na een eventuele bewerking, geschikt is als bouwmateriaal.
http://digitalbuildingdata.tech/nlcs/term/7f4c4606-15ce-4aee-a904-8ba9f78dbe5a;GEMAAL;https://data.crow.nl/imbor/term/f2cc5e34-3a37-4687-9c95-04ebc2632dc1;Gemaal;Een constructie ten behoeve van het verplaatsen van water.
http://digitalbuildingdata.tech/nlcs/term/2b1eb7b7-0965-4436-9eb4-2824461bcdc1;STROOIRESERVOIR;https://data.crow.nl/imbor/term/e85afd26-e2e6-4db1-b362-69fa5522f495;Zoutbak;Bak of kist waarin strooizout ten behoeve van gladheidsbestrijding is opgeslagen.
http://digitalbuildingdata.tech/nlcs/term/33db8322-9807-4cf6-b261-fc9f103c7ef8;ECODUIKER;https://data.crow.nl/imbor/term/de354d85-5cf4-4ea8-8964-a8e05d97e88e;Faunaduiker;Faunaduiker (droog): Een droge doorgang onder of over lijnvormige infrastructurele werken. Doel: opheffen van infrastructurele barrières en de migratie van kleine tot middelgrote fauna mogelijk maken tussen of binnen leefgebieden en populaties. Kleine zoogdieren zoals muizen, konijnen, marterachtigen, egels en medegebruik door kleinere niet-zoogdieren.
http://digitalbuildingdata.tech/nlcs/term/2eff3370-d198-4909-936c-141d3b661e70;GEOTEXTIEL;https://data.crow.nl/imbor/term/de365b5e-8e81-44a5-b17f-c7631cd8dd94;Geovlies;Een stabiliserende doek die als onderste verhardingslaag kan worden aangebracht om druk te verdelen.
http://digitalbuildingdata.tech/nlcs/term/58d598be-cf80-4100-914d-a3751d238015;MEERSTOEL;https://data.crow.nl/imbor/term/6a2534fe-2fe4-4f08-a04d-b3c808bb407a;Meerstoel;In het water staande constructie van in de bodem geplaatste palen of kokers boven water verbonden door gordingen om schepen aan vast te leggen of af te remmen.
http://digitalbuildingdata.tech/nlcs/term/cf2b1b68-e59c-4551-a8b2-b9ccb2973d00;DUKDALF;https://data.crow.nl/imbor/term/6a2534fe-2fe4-4f08-a04d-b3c808bb407a;Meerstoel;In het water staande constructie van in de bodem geplaatste palen of kokers boven water verbonden door gordingen om schepen aan vast te leggen of af te remmen.
http://digitalbuildingdata.tech/nlcs/term/ac064a87-418f-4a19-b1bb-1c1c379ad6fc;KADEMUUR;https://data.crow.nl/imbor/term/081787af-168e-448a-a95c-def86696b927;Kademuur;Verticale wand ter scheiding van land en water, opgebouwd uit een muur van gemetselde stenen of gestort beton.
http://digitalbuildingdata.tech/nlcs/term/6f813979-e4dc-4e54-975e-793eccbf0f16;VERANKERD;https://data.crow.nl/imbor/term/081787af-168e-448a-a95c-def86696b927;Kademuur;Verticale wand ter scheiding van land en water, opgebouwd uit een muur van gemetselde stenen of gestort beton.
http://digitalbuildingdata.tech/nlcs/term/c5f6e8b6-de48-4717-b518-c02810c74f8a;WANDCONSTRUCTIE;https://data.crow.nl/imbor/term/081787af-168e-448a-a95c-def86696b927;Kademuur;Verticale wand ter scheiding van land en water, opgebouwd uit een muur van gemetselde stenen of gestort beton.
http://digitalbuildingdata.tech/nlcs/term/50481d5b-8059-48dd-9507-89a5da5e07fe;ONVERANKERD;https://data.crow.nl/imbor/term/081787af-168e-448a-a95c-def86696b927;Kademuur;Verticale wand ter scheiding van land en water, opgebouwd uit een muur van gemetselde stenen of gestort beton.
http://digitalbuildingdata.tech/nlcs/term/ed0086fe-7474-4373-afd3-6911482fd07c;BETONELEMENT;https://data.crow.nl/imbor/term/ff16f1dd-2258-45e7-9b4b-69f42b0ba9fa;Betonelement;Geprepareerde elementen van beton (bijvoorbeeld stelconplaten).
http://digitalbuildingdata.tech/nlcs/term/55a95edb-d584-4bd5-908e-63abe834239c;ROTONDEBLOK;https://data.crow.nl/imbor/term/ff16f1dd-2258-45e7-9b4b-69f42b0ba9fa;Betonelement;Geprepareerde elementen van beton (bijvoorbeeld stelconplaten).
http://digitalbuildingdata.tech/nlcs/term/03b52c9b-ac4d-41a3-9ea1-bb0992a72b4f;PONTON;https://data.crow.nl/imbor/term/3fd935cb-3071-4f71-a3ff-41b9bcd02b59;Ponton;Drijvende, dichte bak, waarover soms een dek is gelegd.
http://digitalbuildingdata.tech/nlcs/term/bce93444-a4c5-4b2b-8be2-c040a078d0a0;STADSPLATTEGROND;https://data.crow.nl/imbor/term/2a1ff347-2159-4594-a20e-e8f71b3b87c8;Stadsplattegrond;Een informatiepaneel dat een kaart van een bepaald gedeelte van de stad of de omgeving weergeeft.
http://digitalbuildingdata.tech/nlcs/term/13817cab-e714-479d-b7f5-f85c00dd54b7;WILDRICHEL;https://data.crow.nl/imbor/term/602173b8-d6c1-497d-b4ef-6ffd196f37de;Faunarichel;Voorziening in de vorm van een richel om fauna veilig via een kunstwerk of een andere constructie een weg of een spoorbaan te laten passeren.
http://digitalbuildingdata.tech/nlcs/term/ef51c379-4690-43ed-bcbb-491c0784d175;GRONDSPOT;https://data.crow.nl/imbor/term/b5bebf3e-2b5b-4955-aef8-dcddf86aa91e;Grondspot;Lichtbron, verwerkt in de grond of verharding, die een bundel gericht licht geeft.
http://digitalbuildingdata.tech/nlcs/term/7c30a251-c591-4990-907e-4e6b6eb419d9;VOORDE;https://data.crow.nl/imbor/term/6c97c940-467d-4ee0-9db0-27fd94801e06;Voorde;Een doorwaadbare, doorgaans verharde, plaats in de waterloop, die dient voor de oversteek van die waterloop.
http://digitalbuildingdata.tech/nlcs/term/bb636098-e816-45b8-b74d-fa9acaaaa6d6;FLYOVER;https://data.crow.nl/imbor/term/5379e6f4-5477-44d6-87d7-316c6efb327c;Flyover;Een fly-over of flyover is een verbindingsweg, aangelegd als viaduct over andere wegen heen, teneinde een aansluiting ongelijkvloers te maken, waarbij vaak de boogstraal groot wordt gehouden voor de doorstroming. Flyovers worden onderscheiden van reguliere viaducten en zijn doorgaans voor snelverkeer. Op drukke knooppunten zijn vaak flyovers voorhanden.
http://digitalbuildingdata.tech/nlcs/term/f3352aa4-8e6f-42c6-8625-43d9ab259015;HERDENKINGSMONUMENT;https://data.crow.nl/imbor/term/97164d95-d232-4c03-ba3d-ce471b3f9cd9;Herdenkingsmonument;Langs de weg of elders in het terrein aangelegd object ter herdenking van personen of gebeurtenissen.
http://digitalbuildingdata.tech/nlcs/term/bc841af2-9de7-44aa-88ba-24855f9e81c6;SCHIJNWERPER;https://data.crow.nl/imbor/term/fc8ce189-c786-4ea8-bd67-5672ae7c84e2;Schijnwerper;Een armatuur voor een krachtige lamp die wordt gebruikt om gericht licht te werpen op een of meerdere locaties of objecten in de directe omgeving.
http://digitalbuildingdata.tech/nlcs/term/5e8ff510-a2e5-492e-aca6-0901d545b2de;NAALD;https://data.crow.nl/imbor/term/bef2053e-b5b9-4426-b77d-21ef99097875;Naaldbos;Terreindeel begroeid met een dusdanige aantal naaldbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen. (Bron: definities.geostandaarden.nl)
http://digitalbuildingdata.tech/nlcs/term/a4b4ba18-31a6-4a54-930c-55cb0977e7c8;RIET;https://data.crow.nl/imbor/term/aa7c8def-f960-4738-bac6-1973f9ba4c60;Rietland;Terreindeel overwegend begroeid met rietvegetatie. (Bron: definities.geostandaarden.nl)
http://digitalbuildingdata.tech/nlcs/term/10f2cf02-ff30-4755-b34c-f160ba6e00be;DRINKBAK;https://data.crow.nl/imbor/term/1c8e33fb-194c-4c97-b4d6-f7a56fad2315;Drinkbak;Bak gevuld met water waaruit vee of wild kan drinken.
