nlcs_term;nlcs_name
http://digitalbuildingdata.tech/nlcs/term/2baf7a6f-f43c-4d55-8f98-c19e264e9231;KEERWAND
http://digitalbuildingdata.tech/nlcs/term/bf6dbf8b-1fd3-496c-88be-9086a53e260a;CONTAINER
http://digitalbuildingdata.tech/nlcs/term/804e351e-7e9d-4642-8fbd-f382435ba260;HYDRAULISCH
http://digitalbuildingdata.tech/nlcs/term/f6cc6404-e69d-4b67-b015-577c42d0ebe6;SPORTVELD
http://digitalbuildingdata.tech/nlcs/term/5ef18f30-37af-4380-9ed9-1679440614af;SLIJTLAAG
http://digitalbuildingdata.tech/nlcs/term/72547e55-1318-45f0-b77e-355a7d04e6e2;INLAATSLUIS
http://digitalbuildingdata.tech/nlcs/term/f9697be8-066f-49cd-b352-11847a338ac7;SNUFFELPAAL
http://digitalbuildingdata.tech/nlcs/term/d8780f0e-221c-49db-91dd-512d9c18665b;BALLENLIJN
http://digitalbuildingdata.tech/nlcs/term/3e876e25-49ac-444a-b36d-18202478eb70;SIERBESTRATING
http://digitalbuildingdata.tech/nlcs/term/a25fb574-dfef-4246-a13b-a90b84539c9d;VOEGOVERGANG
http://digitalbuildingdata.tech/nlcs/term/6d9a23e4-a49e-490d-a4ff-c167778d7b84;VERKEERSBORD
http://digitalbuildingdata.tech/nlcs/term/3ed9a85f-911a-4eea-a37d-a5fc99c53f1b;GOOT
http://digitalbuildingdata.tech/nlcs/term/98351f8a-908f-4efd-91b8-fe39682b0a8c;LIGPLAATS
http://digitalbuildingdata.tech/nlcs/term/3ddf86ee-80c6-4649-bf7d-6ee248d768ee;TUNNEL
http://digitalbuildingdata.tech/nlcs/term/63500254-d932-47a9-a92a-eb0383196e23;GRIND
http://digitalbuildingdata.tech/nlcs/term/63500254-d932-47a9-a92a-eb0383196e23;GRIND
http://digitalbuildingdata.tech/nlcs/term/6360cdd5-fa04-4b10-9525-d74031ef66cc;DOORVAART
http://digitalbuildingdata.tech/nlcs/term/95551a86-a59a-41c2-8e7c-7d87dc703124;HOUTSNIPPERS
http://digitalbuildingdata.tech/nlcs/term/6e8829cc-7ff5-4fe4-b285-d6b1aa8adee0;LAANBEPLANTING
http://digitalbuildingdata.tech/nlcs/term/a6cf83bd-1437-4d24-b3ee-2f63aad289eb;HEESTERS
http://digitalbuildingdata.tech/nlcs/term/f060d619-65bb-4dd3-85c0-1dacbeb868b5;BODEMVAL
http://digitalbuildingdata.tech/nlcs/term/3ba180e6-f51c-4035-95fc-6c5d04828d48;DEKLAAG
http://digitalbuildingdata.tech/nlcs/term/de37bcdc-2337-4604-b3c4-7a4a30bf5477;DUIKER
http://digitalbuildingdata.tech/nlcs/term/be855fd2-5132-4d4f-bf3e-3259f2ed72b6;WISSELPERK
http://digitalbuildingdata.tech/nlcs/term/fe7dabeb-518c-4504-aee2-6eddddf2ea9a;ROOSTER
http://digitalbuildingdata.tech/nlcs/term/630dff2f-3f2d-456f-bfeb-f274977211b9;BOOMSCHORS
http://digitalbuildingdata.tech/nlcs/term/630dff2f-3f2d-456f-bfeb-f274977211b9;BOOMSCHORS
http://digitalbuildingdata.tech/nlcs/term/3443ff2d-8931-4b2b-9692-18b3bff5ed16;VIADUCT
http://digitalbuildingdata.tech/nlcs/term/36206ce9-38d4-4947-9abe-364591ea33d8;INKLIMBEVEILIGING
http://digitalbuildingdata.tech/nlcs/term/c1b45723-d2e9-4e4d-9e87-d899eba8159f;GROEP
http://digitalbuildingdata.tech/nlcs/term/1bcc3e09-cf43-4e87-a1e9-443f8f795c3e;GELUIDSWERING
http://digitalbuildingdata.tech/nlcs/term/9ee188d0-90ef-4c6d-aeb6-aa3127fc658f;SCHELP
http://digitalbuildingdata.tech/nlcs/term/a23672d1-9478-45be-8a9f-141cb77d951f;SYPHON
http://digitalbuildingdata.tech/nlcs/term/8029607b-25c7-4256-9dd0-d6d651b418f1;HAAG
http://digitalbuildingdata.tech/nlcs/term/0cc23da9-56b8-42c9-9801-eae14c9398a9;ZINLOOS GEWELD TEGEL
http://digitalbuildingdata.tech/nlcs/term/30b49a2b-bf78-4676-a382-5b961f740074;BOLLENTEELT
http://digitalbuildingdata.tech/nlcs/term/5097c1a0-5144-42a3-ad66-d40ce1e449c6;UNIVERSEELSPORTVELD
http://digitalbuildingdata.tech/nlcs/term/54a25d9f-4caa-4986-a589-a9ac32051f21;HOUTWAL
http://digitalbuildingdata.tech/nlcs/term/5ec4ad6c-dcf8-4cce-952d-c952f5cb5283;KLEI
http://digitalbuildingdata.tech/nlcs/term/5ec4ad6c-dcf8-4cce-952d-c952f5cb5283;KLEI
http://digitalbuildingdata.tech/nlcs/term/8e82b0b5-aa14-4524-9d70-ed70c80fa072;GROEN
http://digitalbuildingdata.tech/nlcs/term/d60d835e-e317-4c86-82ba-79468fa4938b;MOERAS
http://digitalbuildingdata.tech/nlcs/term/84de2bbe-9591-43c3-9682-15520e17e835;SCHANSKORF
http://digitalbuildingdata.tech/nlcs/term/808a3b96-6ca6-4fdb-a263-44023bdf798f;ONVERHARD
http://digitalbuildingdata.tech/nlcs/term/7e415a8a-5cd4-4211-984c-aa77a9de2c85;TRAP
http://digitalbuildingdata.tech/nlcs/term/7e415a8a-5cd4-4211-984c-aa77a9de2c85;TRAP
http://digitalbuildingdata.tech/nlcs/term/b1894671-f842-4d5c-b89a-61a0f8c07c62;DEK
http://digitalbuildingdata.tech/nlcs/term/7ed883a3-5972-4def-a648-1111b99b29c7;BETON
http://digitalbuildingdata.tech/nlcs/term/54c4d3b1-e22c-431a-aa16-e37e33bc522a;HONDENTOILET
http://digitalbuildingdata.tech/nlcs/term/4b24e8fc-a2c6-4ab5-a5c2-a599867f1b96;FIETSENREK
http://digitalbuildingdata.tech/nlcs/term/0628cdd7-1c18-4abe-a799-43c90274676f;GELEIDEBAND
http://digitalbuildingdata.tech/nlcs/term/2a9b8e98-6f94-4dfd-bf4d-b3dcae30b701;BOTANISCHE ROOS
http://digitalbuildingdata.tech/nlcs/term/88b996ef-d3a9-42eb-b303-24c365b7760e;WILDRASTER
http://digitalbuildingdata.tech/nlcs/term/7ddd35ae-8134-4900-8bc7-25c1de0af889;FIETSENKLUIS
http://digitalbuildingdata.tech/nlcs/term/d16cd5cf-01b4-47e5-8895-42c1026a8261;BOSPLANTSOEN
http://digitalbuildingdata.tech/nlcs/term/8d57ead4-2717-4cf5-b461-d5980988cf36;STRAATBAKSTEEN
http://digitalbuildingdata.tech/nlcs/term/fc108036-a8c6-4325-93cd-75853ef8d965;PLANTENBAK
http://digitalbuildingdata.tech/nlcs/term/ec6023e6-d413-46d6-804d-783ba8911f58;STUW
http://digitalbuildingdata.tech/nlcs/term/c5ab8601-1a4d-4c4e-8b54-5b1b6d254d74;SCHUTSLUIS
http://digitalbuildingdata.tech/nlcs/term/af4020d7-d5ee-42e6-8fbc-4d21b2fdcdf2;DIEPWAND
http://digitalbuildingdata.tech/nlcs/term/3f762b46-037a-4233-bf92-12c1818c58c8;BOOM
http://digitalbuildingdata.tech/nlcs/term/6de2fd53-1e8c-4250-96cc-fdd2c402c989;VOOROEVERVERDEDIGING
http://digitalbuildingdata.tech/nlcs/term/6de2fd53-1e8c-4250-96cc-fdd2c402c989;VOOROEVERVERDEDIGING
http://digitalbuildingdata.tech/nlcs/term/d4745603-edb8-4850-b006-20011376d4ab;SPEELPLEK
http://digitalbuildingdata.tech/nlcs/term/6434f9cd-4cb9-4fd2-b3b5-d55efb17869e;MERKPAAL
http://digitalbuildingdata.tech/nlcs/term/99f6f9e0-feda-4958-b9e3-8657c8deb8d1;FLORAROL
