searchterm,symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,finalCleanName,optie,fileURL
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9316e758-81d9-423b-ad0c-e6cfe96027c3,1025,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-AFSCHEIDER_SLIBVANGPUT-SO,SRI-AFSCHEIDER_SLIBANGPUT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-AFSCHEIDER_SLIBVANGPUT-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ea9f0ffe-ee32-46c0-b488-6f9068ee79d4,1026,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-AFSCHEIDER_VET-SO,SRI-AFSCHEIDER_ET,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-AFSCHEIDER_VET-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ee3d0817-3803-4830-abbd-58bcb5cb8d6f,1027,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-AFSCHEIDER_ZETMEEL-SO,SRI-AFSCHEIDER_ZETMEEL,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-AFSCHEIDER_ZETMEEL-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ade70bc3-efe2-41cf-87f9-a5570f530d9d,1028,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-AFSCHEIDER-SO,SRI-AFSCHEIDER,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-AFSCHEIDER-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/547d7338-39dc-443b-a715-d43801c77b8f,1031,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-PUT_DRAIN_DOORSPUIT-SO,SRI-PUT_DRAIN_DOORSPUIT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DRAIN_DOORSPUIT-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9c6987c3-f023-48e1-9e5a-90682f8b00be,1032,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-PUT_DRAIN-SO,SRI-PUT_DRAIN,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DRAIN-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7ec5faad-1dfe-4453-abaa-fe6859722950,1033,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-DRAIN_TALUDGOOT-SO,SRI-DRAIN_TALUDGOOT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-DRAIN_TALUDGOOT-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f91ffb72-f7e0-4f42-8a70-293c4c7891d6,1034,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-GEMAAL-SO,SRI-GEMAAL,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-GEMAAL-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/77e715c7-760b-4dbc-a006-b87d578ea7ac,1035,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-HULP_AFSLUITER-SO,SRI-HULP_AFSLUITER,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-HULP_AFSLUITER-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/81a14103-777d-4aca-bcb6-27aef53b237a,1036,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-HULP_AFSLUITER_DRIEWEG-SO,SRI-HULP_AFSLUITER_DRIEWEG,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-HULP_AFSLUITER_DRIEWEG-SO.dwg
