symboolURI;id;sbibliotheek;sbibliotheekURI;fase;symbool;optie;fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7838b5a4-c572-4340-b3c7-b206fdb14e41;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-UITSTROOMBAK;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-UITSTROOMBAK.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ac8f0008-e06f-4dde-84b5-a19092796a80;;SGR;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5e1a4fd3-ed90-42b7-b26b-690189aa9f55;;SGR-BOMENRIJ;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGR/SGR-BOMENRIJ.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4e70ff31-00c7-4e4d-9732-42f997c47b3f;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-PUT_DEKSEL_DRAINAGE;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_DEKSEL_DRAINAGE.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fd0b0270-c882-46b9-8a9f-751e74f1aab8;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-PUT_DEKSEL_DWA;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_DEKSEL_DWA.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/94e317ed-96d6-4fa1-bc3d-f309856bd207;;SIW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ea29580c-9068-417a-8b2a-8bdecfdbd51a;;SIW-VRI;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIW/SIW-VRI.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4e76698f-320d-408b-bc32-f601267b821a;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-PUT_DEKSEL_HWA;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_DEKSEL_HWA.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1604ecb0-649c-422e-8074-fb78a4035389;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-PUT_DEKSEL_ITR;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_DEKSEL_ITR.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bccdf635-4a5d-4cbd-876e-e18fa55e4257;;SIE;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8a998fbf-3ef5-49ec-81c4-c2ec5d0be04e;;SIE-MEUBILAIR_PAAL_DIJKPAAL;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_PAAL_DIJKPAAL.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/84966aa6-dd66-4504-a16a-4340616321b3;;SIS;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9bd95238-8198-42ff-a96c-dfc3fa148fd3;;SIS-LAYOUT_HSW-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/SIS-LAYOUT_HSW-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bd2f4329-8735-4e27-a8ef-9ba29cd2a028;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-PUT_DEKSEL_GWA;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_DEKSEL_GWA.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ac00a1c7-df8d-41a8-b6b4-80e03b06f938;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-PUT_DEKSEL_OVERIG;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_DEKSEL_OVERIG.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6d7d5df0-68a5-4fb5-8b7c-db7079874ca7;;SVW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/24b8c49e-3586-44cb-9d3a-6a243a1e40d7;;SKL-POLLER;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVW/SKL-POLLER.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d230ba0f-fda2-4f51-baa3-9ab4afa64445;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;V-SRI-KOLK-TROTTOIR_03-SO;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-KOLK-TROTTOIR_03-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/361c5d25-16b3-4102-938b-f12d95f8382c;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-ANTIPARKEERELEMENT_BETONPYRAMIDE;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-ANTIPARKEERELEMENT_BETONPYRAMIDE.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e703569b-f55d-4c3d-bb11-aa3f69748a1b;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;V-SKL-PUT_SCHOUW_550X550-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-PUT_SCHOUW_550X550-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fb082d11-941a-4cd3-af2f-98e673c23faf;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;V-SRI-PUT_DEKSEL_DWA;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DEKSEL_DWA.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9237f449-20ab-4494-8d08-d70c06c6f000;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;V-SKL-PUT_ONTSTOPPING_160MM-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-PUT_ONTSTOPPING_160MM-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c5f1563c-e9dc-4abb-92a1-e78298dce050;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-PUT_SCHOUW_700X700-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-PUT_SCHOUW_700X700-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2c703e42-677e-40cb-84d2-d9d3f44efb28;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;SRI-KOLK-TROTTOIR_02-SO;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-KOLK-TROTTOIR_02-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/214e9901-6393-4fb9-8978-62e23aa1a125;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;V-SKL-PUT_ONTSTOPPING_110MM-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-PUT_ONTSTOPPING_110MM-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3ad7f052-9b38-4a96-a301-cc8c3e57d863;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-PUT_ONTSTOPPING_110MM-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-PUT_ONTSTOPPING_110MM-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/90975411-3ecd-423b-b93f-bfed4e0180fc;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-PUT_ONTSTOPPING_160MM-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-PUT_ONTSTOPPING_160MM-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1472c0b3-6055-4c57-8c28-0bb0f7e4aafb;;SIE;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8a998fbf-3ef5-49ec-81c4-c2ec5d0be04e;;V-SIE-MEUBILAIR_LICHTPUNT-SO;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_LICHTPUNT-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c6e5a3fe-fb4e-40b0-a431-ac1f420da745;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;V-SVH-ANTIPARKEERELEMENT_BETONPYRAMIDE;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-ANTIPARKEERELEMENT_BETONPYRAMIDE.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/54691ca2-90ae-4e51-acef-ec9bed6051fe;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;V-SRI-KOLK-TROTTOIR_01-SO;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-KOLK-TROTTOIR_01-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3c124674-c99a-4243-9f10-217fe6fa96df;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-ANTIPARKEERELEMENT_SCHAMPBLOK_650X500X400;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-ANTIPARKEERELEMENT_SCHAMPBLOK_650X500X400.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c60aa00d-c8a0-434b-a7cc-6403a303319c;;SRI;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d78f17a-dc19-433f-924b-fa44e60d9558;;V-SRI-KOLK-TROTTOIR_02-SO;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-KOLK-TROTTOIR_02-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/91c4081a-0a3d-4a0b-8170-7b366db50d50;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;V-SKL-PUT_SCHOUW_700X700-S;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-PUT_SCHOUW_700X700-S.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/01735880-5681-4876-a622-365d51ca3294;;SIE;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8a998fbf-3ef5-49ec-81c4-c2ec5d0be04e;;V-SIE-MEUBILAIR_PAAL_LICHTMAST-SO;;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_LICHTMAST-SO.dwg
