oordeel,bestand,omschrijving,autocaddef
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BENOG-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[CIRKEL,NLCS.SHX,s=0.5],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[DRIEHOEK,NLCS.SHX,s=1],-1.5"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BENOGGEMEENTE-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[DRIEHOEK,NLCS.SHX,s=1],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[CIRKEL,NLCS.SHX,s=0.5],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[\""G\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-1.5"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BENOGPRORAIL-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[DRIEHOEK,NLCS.SHX,s=1],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[CIRKEL,NLCS.SHX,s=0.5],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""PR\"",standard,U=0.0,x=-1.5,y=-.9,s=1.8],-3"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BENOGPROVINCIE-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[DRIEHOEK,NLCS.SHX,s=1],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[CIRKEL,NLCS.SHX,s=0.5],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[\""P\"",standard,U=0.0,y=-0.5,s=1.8],-1.5"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BENOGRIJK-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[DRIEHOEK,NLCS.SHX,s=1],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[CIRKEL,NLCS.SHX,s=0.5],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[\""R\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-1.5"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BENOGRIJKRWS-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[DRIEHOEK,NLCS.SHX,s=1],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[CIRKEL,NLCS.SHX,s=0.5],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-3,[\""RWS\"",standard,U=0.0,x=-2.4,y=-.9,s=1.8],-3"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BENOGWATERSCHAP-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[DRIEHOEK,NLCS.SHX,s=1],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[CIRKEL,NLCS.SHX,s=0.5],-1.5,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-1.5,[\""W\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-1.5"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BG-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[DRIEHOEK,NLCS.SHX,s=1],-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BGGEMEENTE-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""G\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[DRIEHOEK,NLCS.SHX,s=1],-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BGPRORAIL-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""PR\"",standard,U=0.0,x=-1,y=-.9,s=1.8],-3,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[DRIEHOEK,NLCS.SHX,s=1],-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BGPROVINCIE-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""P\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[DRIEHOEK,NLCS.SHX,s=1],-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BGRIJK-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""R\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[DRIEHOEK,NLCS.SHX,s=1],-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BGRIJKRWS-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-3,[\""RWS\"",standard,U=0.0,x=-2.4,y=-.9,s=1.8],-3,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2.5,[DRIEHOEK,NLCS.SHX,s=1],-2.5"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-BGWATERSCHAP-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""W\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[DRIEHOEK,NLCS.SHX,s=1],-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-GV-SO,"A,12,[VERWIJDEREN2,NLCS.SHX,x=-6,s=0.6],-6,0,-6,12,[VERWIJDEREN2,NLCS.SHX,x=-6,s=0.6],-6"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-GVAANKOOP-SO,"A,6,[VERWIJDEREN2,NLCS.SHX,x=-3,s=0.6],-3,0,-3,6,-3"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-GVVERKOOP-SO,"A,15,[VERWIJDEREN2,NLCS.SHX,x=-7.5,s=0.6],-3,3,-3,3,-3"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-GWBG-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[WATERSCHAPSGOLF,NLCS.SHX,s=1],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-KG.csv,V-KG-KADASTRALEPERCEELGRENS-SO,"A,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[\""P\"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],-2,5.5,[VERWIJDEREN2,NLCS.SHX,x=-2.75,s=0.6],-2,[KRUISJE,NLCS.SHX,s=0.75],-2"
