objectURI,hoofdgroepURI,hoofdgroep,id_nummer,lt_v,omschrijving,lijntypeOmschrijving,autocaddef
http://digitalbuildingdata.tech/nlcs/def/d1d89ed3-bc38-4be8-a6ef-b16b2c9755a0,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4624,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PP_500,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/1cbe5e31-39b8-4859-9dc9-4dbf5bf389cc,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4620,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PP_200,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/5cfd3c20-8722-4a5e-828f-2e0f85c37449,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4621,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PP_250,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/e67caf0b-b08b-4cdc-be98-9cd4fcad4145,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4491,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PVC_110,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/537aea95-9d71-40f8-9bca-f91eca3bb4b9,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4492,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PVC_125,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/11e01292-467b-42af-96f2-881e8147d86c,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4493,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PVC_160,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/75ff4532-4194-403d-981e-0a081354100d,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4485,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PE_75,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/468dcd3e-f95b-457e-8298-5d63a6bf18de,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4484,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PE_63,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/28c2bc8b-e389-4ab3-b552-ff081577edcb,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4486,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PE_90,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/04844e7c-a63b-4613-a92c-c2dcb6b84cce,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4482,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PE_110,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/495bf3ee-4eed-480a-aae8-cb3330496f4d,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4483,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PE_125,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
http://digitalbuildingdata.tech/nlcs/def/a3fab129-87cf-48bc-bb42-c396cb280f0f,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4488,V-RI-DRAINAGE_AANSLUITLEIDING-SO,DRAINAGE_PERCEELAANSLUITLEIDING_PP_125,V-RI-DRAINAGE_AANSLUITLEIDING-SO,"A, 1.50,[VERWIJDEREN2,NLCS.shx,s=0.5],1.50,-1.50"
