name;hoofdNames;topNames;numUri
WINTERBERGING;WH;NLCS-object;1
INFO;WH;NLCS-object;1
GROENE RIVIER;WH;NLCS-object;1
EB;WH;NLCS-object;1
WATERLOOP;WH;NLCS-object;1
WATERLIJN;WH;NLCS-object;1
WATERBODEM;WH;NLCS-object;1
GEUL;WH;NLCS-object;1
OVERLOOPGEBIED;WH;NLCS-object;1
NORMAALLIJN;WH;NLCS-object;1
DEBIETLIJN;WH;NLCS-object;1
NATTE OMTREK;WH;NLCS-object;1
WINTERBED;WH;NLCS-object;1
PEILVAK;WH;NLCS-object;1
GRONDWATERLIJN;WH;NLCS-object;1
HYDRAULISCH OPPERVLAK;WH;NLCS-object;1
DUIKER;WH;NLCS-object;1
VLOEDLIJN;WH;NLCS-object;1
WATEROVERSPANNING;WH;NLCS-object;1
ZOMERBED;WH;NLCS-object;1
OVERSTORT;WH;NLCS-object;1
RAAI;WH;NLCS-object;1
FREATISCH OPPERVLAK;WH;NLCS-object;1
STROOMRICHTING;WH;NLCS-object;1
WATERPEIL;WH;NLCS-object;1
VLOED;WH;NLCS-object;1
STIJGHOOGTE;WH;NLCS-object;1
KUNSTWERK;WH;NLCS-object;1
DIEPTELIJN;WH;NLCS-object;1
WVP_2e;WH;NLCS-object;1
WVP_3e;WH;NLCS-object;1
WVP_1e;WH;NLCS-object;1
GEUL_VAARGEUL;WH;NLCS-object;1
GEUL_STROOMGEUL;WH;NLCS-object;1
GEUL_HOOGWATERGEUL;WH;NLCS-object;1
GEUL_NEVENGEUL;WH;NLCS-object;1
DUIKER_BETON;WH;NLCS-object;1
DUIKER_PVC;WH;NLCS-object;1
DUIKER_STAAL;WH;NLCS-object;1
DUIKER_PE;WH;NLCS-object;1
WATERPEIL_STUWPEIL;WH;NLCS-object;1
WATERPEIL_WINTERPEIL;WH;NLCS-object;1
WATERPEIL_KNOOPPUNT;WH;NLCS-object;1
WATERPEIL_ZOMERPEIL;WH;NLCS-object;1
KUNSTWERK_BRUG;WH;NLCS-object;1
KUNSTWERK_STUW;WH;NLCS-object;1
VERBINDING;SC;NLCS-object;1
HULPSTAAL;SC;NLCS-object;1
AANGRENZENDECONSTRUCTIE;SC;NLCS-object;1
TREKSTANG;SC;NLCS-object;1
ITSO;SC;NLCS-object;1
OVERIGMATERIAAL;SC;NLCS-object;1
STAALVORM;SC;NLCS-object;1
LEVENSDUURVERLENGENDE MAATREGEL;SC;NLCS-object;1
NAAD;SC;NLCS-object;1
REPARATIES;SC;NLCS-object;1
SLOOPLIJN;SC;NLCS-object;1
VERBINDING_BOUT;SC;NLCS-object;1
VERBINDING_LAS;SC;NLCS-object;1
AANGRENZENDECONSTRUCTIE_BETON;SC;NLCS-object;1
AANGRENZENDECONSTRUCTIE_HOUT;SC;NLCS-object;1
AANGRENZENDECONSTRUCTIE_METSELWERK;SC;NLCS-object;1
STAALVORM_RVS;SC;NLCS-object;1
STAALVORM_PLAAT;SC;NLCS-object;1
STAALVORM_PROFIEL;SC;NLCS-object;1
STAALVORM_RVS_PROFIEL;SC;NLCS-object;1
STAALVORM_RVS_PLAAT;SC;NLCS-object;1
BRANDSTOF;KL;NLCS-object;1
WARMTENET;KL;NLCS-object;1
CHEMIE;KL;NLCS-object;1
CCTV;KL;NLCS-object;1
WATER;KL;NLCS-object;1
VEVA;KL;NLCS-object;1
TELPUNT;KL;NLCS-object;1
GAS;KL;NLCS-object;1
DATA;KL;NLCS-object;1
WEESLEIDING;KL;NLCS-object;1
AFSLUITINSTALLATIE;KL;NLCS-object;1
UWKS;KL;NLCS-object;1
SCHEMA;KL;NLCS-object;1
BEWEGWIJZERING;KL;NLCS-object;1
ET;KL;NLCS-object;1
TRACE;KL;NLCS-object;1
OLIE;KL;NLCS-object;1
CV;KL;NLCS-object;1
