"OMSCHRIJVING","STATUS","DISCIPLINE","Hoofdgroep","Object","SubObject01","SubObject02","SubObject03","SubObject04","SubObject05","Bewerking","Element","Arcering","Symbool","Laagnaam","BLineweight","BColor","BColorA","BColorGD","BColorGN","BColorV","B_Linetype","NLineweight","NColor","NColorA","NColorGD","NColorGN","NColorV","N_Linetype","VLineweight","VColor","VColorA","VColorGD","VColorGN","VColorV","V_Linetype","TLineweight","TColor","TColorA","TColorGD","TColorGN","TColorV","T_Linetype","VRKL_KORT","VRKL_LANG","ID","KIND_VAN"
"AARDING","*","**","OV","AARDING","","","","","","","G/S","","SOV:SOV-AARDING","*-**-OV-AARDING-G/S","0.18","7","7","7","7","252","OV-AARDING-SO","0.35","7","7","7","7","252","OV-AARDING-SO","0.35","7","7","7","7","252","V-OV-AARDING-SO","0.35","7","7","7","7","252","OV-AARDING-SO","","","3531",""
"ARMATUUR","*","**","OV","ARMATUUR","","","","","","","G/S","","SOV:SOV-ARMATUUR","*-**-OV-ARMATUUR-G/S","0.18","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","V-CONTINUOUS-SO","0.35","7","7","7","7","252","CONTINUOUS","","","887",""
"KABELDOORVOER","*","**","OV","KABELDOORVOER","","","","","","","G","","","*-**-OV-KABELDOORVOER-G","0.18","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","V-CONTINUOUS-SO","0.35","7","7","7","7","252","CONTINUOUS","","","902",""
"WEESLEIDING","*","**","OV","WEESLEIDING","","","","","","","G","","","*-**-OV-WEESLEIDING-G","0.18","190","192","190","190","252","OV-WEESLEIDING-SO","0.35","190","192","190","190","252","OV-WEESLEIDING-SO","0.35","190","192","190","190","252","V-OV-WEESLEIDING-SO","0.35","190","192","190","190","252","OV-WEESLEIDING-SO","","","3540",""
"LIJNVERLICHTING","*","**","OV","LIJNVERLICHTING","","","","","","","G","","","*-**-OV-LIJNVERLICHTING-G","0.18","190","192","190","190","253","OV-LIJNV-SO","0.35","190","192","190","190","253","OV-LIJNV-SO","0.35","190","192","190","190","253","V-OV-LIJNV-SO","0.35","190","192","190","190","253","OV-LIJNV-SO","","","3542",""
"LICHTMAST","*","**","OV","LICHTMAST","","","","","","","G/S","","SOV:SOV-LICHTMAST","*-**-OV-LICHTMAST-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","911",""
"TRACE","*","**","OV","TRACE","","","","","","","G","","","*-**-OV-TRACE-G","0.18","7","7","7","7","252","ZZ-HIDDEN-SO","0.35","7","7","7","7","252","ZZ-HIDDEN-SO","0.35","7","7","7","7","252","ZZ-HIDDEN-SO","0.35","7","7","7","7","252","ZZ-HIDDEN-SO","","","3538",""
"KABELROL","*","**","OV","KABELROL","","","","","","","G/S","","SOV:SOV-KABELROL","*-**-OV-KABELROL-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","906",""
"PUT","*","**","OV","PUT","","","","","","","G","","","*-**-OV-PUT-G","0.18","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","V-CONTINUOUS-SO","0.35","7","7","7","7","252","CONTINUOUS","","","915",""
"DRAAGCONSTRUCTIE","*","**","OV","DRAAGCONSTRUCTIE","","","","","","","G","","","*-**-OV-DRAAGCONSTRUCTIE-G","0.18","190","192","190","190","253","CONTINUOUS","0.35","190","192","190","190","253","CONTINUOUS","0.35","190","192","190","190","253","V-CONTINUOUS-SO","0.35","190","192","190","190","253","CONTINUOUS","","","3541",""
"HULPSTUK_MOF","*","**","OV","HULPSTUK","MOF","","","","","","G/S","","SOV:SOV-HULP_MOF","*-**-OV-HULPSTUK_MOF-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","895","893"
"HULPSTUK_AANSLUITPUNT","*","**","OV","HULPSTUK","AANSLUITPUNT","","","","","","G/S","","SOV:SOV-HULP_AANSLUITPUNT","*-**-OV-HULPSTUK_AANSLUITPUNT-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","894","893"
"HULPSTUK_LAS","*","**","OV","HULPSTUK","LAS","","","","","","G/S","","SOV:SOV-HULP_LAS_COMMUNICATIEKABEL","*-**-OV-HULPSTUK_LAS-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3534","893"
"HULPSTUK_LAS","*","**","OV","HULPSTUK","LAS","","","","","","G/S","","SOV:SOV-HULP_LAS_SIGNAALGEVERKABEL","*-**-OV-HULPSTUK_LAS-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3534","893"
"KABEL_COMBIKABEL","*","**","OV","KABEL","COMBIKABEL","","","","","","G","","","*-**-OV-KABEL_COMBIKABEL-G","0.18","190","192","190","190","252","OV-COMBIKABEL-SO","0.35","190","192","190","190","252","OV-COMBIKABEL-SO","0.35","190","192","190","190","252","V-OV-COMBIKABEL-SO","0.35","190","192","190","190","252","OV-COMBIKABEL-SO","","","3536","897"
"KABEL_SIGNAALKABEL","*","**","OV","KABEL","SIGNAALKABEL","","","","","","G","","","*-**-OV-KABEL_SIGNAALKABEL-G","0.18","190","192","190","190","252","OV-KABEL_SIGNAAL-SO","0.35","190","192","190","190","252","OV-KABEL_SIGNAAL-SO","0.35","190","192","190","190","252","V-OV-KABEL_SIGNAAL-SO","0.35","190","192","190","190","252","OV-KABEL_SIGNAAL-SO","","","900","897"
"KABEL_VOEDINGSKABEL","*","**","OV","KABEL","VOEDINGSKABEL","","","","","","G","","","*-**-OV-KABEL_VOEDINGSKABEL-G","0.18","190","192","190","190","252","OV-KABEL_VOEDING-SO","0.35","190","192","190","190","252","OV-KABEL_VOEDING-SO","0.35","190","192","190","190","252","V-OV-KABEL_VOEDING-SO","0.35","190","192","190","190","252","OV-KABEL_VOEDING-SO","","","901","897"
"KABEL_AANSLUITKABEL","*","**","OV","KABEL","AANSLUITKABEL","","","","","","G","","","*-**-OV-KABEL_AANSLUITKABEL-G","0.18","190","192","190","190","252","OV-KABEL-SO","0.35","190","192","190","190","252","OV-KABEL-SO","0.35","190","192","190","190","252","V-OV-KABEL-SO","0.35","190","192","190","190","252","OV-KABEL-SO","","","3535","897"
"KABEL_BUNDEL","*","**","OV","KABEL","BUNDEL","","","","","","G","","","*-**-OV-KABEL_BUNDEL-G","0.18","190","192","190","190","252","OV-KABEL_BUNDEL-SO","0.35","190","192","190","190","252","OV-KABEL_BUNDEL-SO","0.35","190","192","190","190","252","V-OV-KABEL_BUNDEL-SO","0.35","190","192","190","190","252","OV-KABEL_BUNDEL-SO","","","899","897"
"KABEL_AARDING","*","**","OV","KABEL","AARDING","","","","","","G","","","*-**-OV-KABEL_AARDING-G","0.18","190","192","190","190","252","OV-KABEL_AARDING-SO","0.35","190","192","190","190","252","OV-KABEL_AARDING-SO","0.35","190","192","190","190","252","V-OV-KABEL_AARDING-SO","0.35","190","192","190","190","252","OV-KABEL_AARDING-SO","","","898","897"
"KAST_ONTSTEEKPUNT","*","**","OV","KAST","ONTSTEEKPUNT","","","","","","G/S","","SOV:SOV-KAST_ONTSTEEKPUNT","*-**-OV-KAST_ONTSTEEKPUNT-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3545","907"
"KAST_PUTKAST","*","**","OV","KAST","PUTKAST","","","","","","G/S","","SOV:SOV-KAST_PUTKAST","*-**-OV-KAST_PUTKAST-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","910","907"
"KAST_SEKTIEKAST","*","**","OV","KAST","SEKTIEKAST","","","","","","G/S","","SOV:SOV-KAST_SEKTIEKAST","*-**-OV-KAST_SEKTIEKAST-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3546","907"
"KAST_VOEDINGSPUNT","*","**","OV","KAST","VOEDINGSPUNT","","","","","","G/S","","SOV:SOV-KAST_VOEDINGSPUNT","*-**-OV-KAST_VOEDINGSPUNT-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3548","907"
"KAST_OVKAST","*","**","OV","KAST","OVKAST","","","","","","G","","","*-**-OV-KAST_OVKAST-G","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","909","907"
"KAST_DOORVERBINDINGSKAST","*","**","OV","KAST","DOORVERBINDINGSKAST","","","","","","G/S","","SOV:SOV-KAST_DOORVERBINDINGSKAST","*-**-OV-KAST_DOORVERBINDINGSKAST-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3543","907"
"KAST_HOOGSPANNING","*","**","OV","KAST","HOOGSPANNING","","","","","","G/S","","SOV:SOV-KAST_HOOGSPANNING","*-**-OV-KAST_HOOGSPANNING-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3544","907"
"KAST_TRANSFORMATORKAST","*","**","OV","KAST","TRANSFORMATORKAST","","","","","","G/S","","SOV:SOV-KAST_TRANSFORMATORKAST","*-**-OV-KAST_TRANSFORMATORKAST-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3547","907"
"KAST_LASKAST","*","**","OV","KAST","LASKAST","","","","","","G","","","*-**-OV-KAST_LASKAST-G","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","908","907"
"AARDING_AARDELECTRODE","*","**","OV","AARDING","AARDELECTRODE","","","","","","G/S","","SOV:SOV-AARDING_AARDELECTRODE","*-**-OV-AARDING_AARDELECTRODE-G/S","0.18","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","V-CONTINUOUS-SO","0.35","7","7","7","7","252","CONTINUOUS","","","3532","3531"
"ARMATUUR_FUNCTIONEEL","*","**","OV","ARMATUUR","FUNCTIONEEL","","","","","","G","","","*-**-OV-ARMATUUR_FUNCTIONEEL-G","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","889","887"
"ARMATUUR_BOLDER","*","**","OV","ARMATUUR","BOLDER","","","","","","G/S","","SOV:SOV-ARMATUUR_BOLDER","*-**-OV-ARMATUUR_BOLDER-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","888","887"
"ARMATUUR_ORIENTATIE","*","**","OV","ARMATUUR","ORIENTATIE","","","","","","G","","","*-**-OV-ARMATUUR_ORIENTATIE-G","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","891","887"
"ARMATUUR_SPOT","*","**","OV","ARMATUUR","SPOT","","","","","","G/S","","SOV:SOV-ARMATUUR_SPOT_02","*-**-OV-ARMATUUR_SPOT-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3533","887"
"ARMATUUR_SPOT","*","**","OV","ARMATUUR","SPOT","","","","","","G/S","","SOV:SOV-ARMATUUR_SPOT_01","*-**-OV-ARMATUUR_SPOT-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","3533","887"
"ARMATUUR_SCHIJNWERPER","*","**","OV","ARMATUUR","SCHIJNWERPER","","","","","","G/S","","SOV:SOV-ARMATUUR_SCHIJNWERPER","*-**-OV-ARMATUUR_SCHIJNWERPER-G/S","0.18","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","CONTINUOUS","0.35","190","192","190","190","252","V-CONTINUOUS-SO","0.35","190","192","190","190","252","CONTINUOUS","","","892","887"
"KABELDOORVOER_KABELGOOT","*","**","OV","KABELDOORVOER","KABELGOOT","","","","","","G","","","*-**-OV-KABELDOORVOER_KABELGOOT-G","0.18","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","V-CONTINUOUS-SO","0.35","7","7","7","7","252","CONTINUOUS","","","903","902"
"KABELDOORVOER_MANTELBUIS","*","**","OV","KABELDOORVOER","MANTELBUIS","","","","","","G","","","*-**-OV-KABELDOORVOER_MANTELBUIS-G","0.18","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","CONTINUOUS","0.35","7","7","7","7","252","V-CONTINUOUS-SO","0.35","7","7","7","7","252","CONTINUOUS","","","905","902"
"KABELDOORVOER_KABELKOKER","*","**","OV","KABELDOORVOER","KABELKOKER","","","","","","G","","","*-**-OV-KABELDOORVOER_KABELKOKER-G","0.18","7","7","7","7","252","OV-KABELKOKER-SO","0.35","7","7","7","7","252","OV-KABELKOKER-SO","0.35","7","7","7","7","252","V-OV-KABELKOKER-SO","0.35","7","7","7","7","252","OV-KABELKOKER-SO","","","904","902"
"TRACE_WENSTRACE","*","**","OV","TRACE","WENSTRACE","","","","","","G","","","*-**-OV-TRACE_WENSTRACE-G","0.18","7","7","7","7","252","ZZ-HIDDEN-SO","0.35","7","7","7","7","252","ZZ-HIDDEN-SO","0.35","7","7","7","7","252","ZZ-HIDDEN-SO","0.35","7","7","7","7","252","ZZ-HIDDEN-SO","","","3539","3538"
"STAALVORM","*","**","SC","STAALVORM","","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-STAALVORM-G/A","0.18","140","252","140","10","253","CONTINUOUS","0.25","140","252","140","10","253","CONTINUOUS","0.25","140","252","140","10","253","V-CONTINUOUS-SO","0.25","140","252","140","10","253","CONTINUOUS","","","2862",""
"VERBINDING","*","**","SC","VERBINDING","","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-VERBINDING-G/A","0.18","150","252","130","10","253","CONTINUOUS","0.18","150","252","130","10","253","CONTINUOUS","0.18","150","252","130","10","253","V-CONTINUOUS-SO","0.18","150","252","130","10","253","CONTINUOUS","","","2867",""
"REPARATIES","*","**","SC","REPARATIES","","","","","","","G","","","*-**-SC-REPARATIES-G","0.18","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","V-CONTINUOUS-SO","0.25","170","172","170","170","253","CONTINUOUS","","","2878",""
"TREKSTANG","*","**","SC","TREKSTANG","","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-TREKSTANG-G/A","0.18","140","252","7","10","253","CONTINUOUS","0.25","7","252","7","10","253","CONTINUOUS","0.25","7","252","7","10","253","V-CONTINUOUS-SO","0.25","7","252","7","10","253","CONTINUOUS","","","2865",""
"NAAD","*","**","SC","NAAD","","","","","","","G","","","*-**-SC-NAAD-G","0.18","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","2876",""
"AANGRENZENDECONSTRUCTIE","*","**","SC","AANGRENZENDECONSTRUCTIE","","","","","","","G","","","*-**-SC-AANGRENZENDECONSTRUCTIE-G","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2870",""
"ITSO","*","**","SC","ITSO","","","","","","","G","","","*-**-SC-ITSO-G","0.18","140","253","130","10","253","CONTINUOUS","0.25","140","253","130","10","253","CONTINUOUS","0.25","140","253","130","10","253","V-CONTINUOUS-SO","0.25","140","253","130","10","253","CONTINUOUS","","","2875",""
"SLOOPLIJN","*","**","SC","SLOOPLIJN","","","","","","","G","","","*-**-SC-SLOOPLIJN-G","0.18","10","12","10","10","253","CONTINUOUS","0.25","10","12","10","10","253","CONTINUOUS","0.25","10","12","10","10","253","V-CONTINUOUS-SO","0.25","10","12","10","10","253","CONTINUOUS","","","2877",""
"OVERIGMATERIAAL","*","**","SC","OVERIGMATERIAAL","","","","","","","G","","","*-**-SC-OVERIGMATERIAAL-G","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2874",""
"LEVENSDUURVERLENGENDE MAATREGEL","*","**","SC","LEVENSDUURVERLENGENDE MAATREGEL","","","","","","","G","","","*-**-SC-LEVENSDUURVERLENGENDE MAATREGEL-G","0.18","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","V-CONTINUOUS-SO","0.25","170","172","170","170","253","CONTINUOUS","","","2879",""
"HULPSTAAL","*","**","SC","HULPSTAAL","","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-HULPSTAAL-G/A","0.18","140","252","130","10","253","CONTINUOUS","0.25","140","252","130","10","253","CONTINUOUS","0.25","140","252","130","10","253","V-CONTINUOUS-SO","0.25","140","252","130","10","253","CONTINUOUS","","","2866",""
"STAALVORM_PLAAT","*","**","SC","STAALVORM","PLAAT","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-STAALVORM_PLAAT-G/A","0.18","140","252","140","10","253","CONTINUOUS","0.25","140","252","140","10","253","CONTINUOUS","0.25","140","252","140","10","253","V-CONTINUOUS-SO","0.25","140","252","140","10","253","CONTINUOUS","","","2864","2862"
"STAALVORM_RVS","*","**","SC","STAALVORM","RVS","","","","","","G/A","ACO:ACO-RVS","","*-**-SC-STAALVORM_RVS-G/A","0.18","150","252","150","10","253","CONTINUOUS","0.25","150","252","150","10","253","CONTINUOUS","0.25","150","252","150","10","253","V-CONTINUOUS-SO","0.25","150","252","150","10","253","CONTINUOUS","","","3478","2862"
"STAALVORM_PROFIEL","*","**","SC","STAALVORM","PROFIEL","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-STAALVORM_PROFIEL-G/A","0.18","140","252","140","10","253","CONTINUOUS","0.25","140","252","140","10","253","CONTINUOUS","0.25","140","252","140","10","253","V-CONTINUOUS-SO","0.25","140","252","140","10","253","CONTINUOUS","","","2863","2862"
"VERBINDING_BOUT","*","**","SC","VERBINDING","BOUT","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-VERBINDING_BOUT-G/A","0.18","150","252","130","10","253","CONTINUOUS","0.18","150","252","130","10","253","CONTINUOUS","0.18","150","252","130","10","253","V-CONTINUOUS-SO","0.18","150","252","130","10","253","CONTINUOUS","","","2868","2867"
"VERBINDING_LAS","*","**","SC","VERBINDING","LAS","","","","","","G/A","ACO:ACO-STAAL","","*-**-SC-VERBINDING_LAS-G/A","0.18","210","252","210","210","253","CONTINUOUS","0.18","210","252","210","210","253","CONTINUOUS","0.18","210","252","210","210","253","V-CONTINUOUS-SO","0.18","210","252","210","210","253","CONTINUOUS","","","2869","2867"
"AANGRENZENDECONSTRUCTIE_HOUT","*","**","SC","AANGRENZENDECONSTRUCTIE","HOUT","","","","","","G/A","ACO:ACO-HOUT","","*-**-SC-AANGRENZENDECONSTRUCTIE_HOUT-G/A","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2872","2870"
"AANGRENZENDECONSTRUCTIE_METSELWERK","*","**","SC","AANGRENZENDECONSTRUCTIE","METSELWERK","","","","","","G/A","ACO:ACO-METSELWERK","","*-**-SC-AANGRENZENDECONSTRUCTIE_METSELWERK-G/A","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2873","2870"
"AANGRENZENDECONSTRUCTIE_BETON","*","**","SC","AANGRENZENDECONSTRUCTIE","BETON","","","","","","G/A","ACO:ACO-BETON","","*-**-SC-AANGRENZENDECONSTRUCTIE_BETON-G/A","0.18","7","252","7","20","253","CONTINUOUS","0.18","7","254","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2871","2870"
"STAALVORM_RVS_PLAAT","*","**","SC","STAALVORM","RVS","PLAAT","","","","","G/A","ACO:ACO-RVS","","*-**-SC-STAALVORM_RVS_PLAAT-G/A","0.18","150","252","150","10","253","CONTINUOUS","0.25","150","252","150","10","253","CONTINUOUS","0.25","150","252","150","10","253","V-CONTINUOUS-SO","0.25","150","252","150","10","253","CONTINUOUS","","","3479","3478"
"STAALVORM_RVS_PROFIEL","*","**","SC","STAALVORM","RVS","PROFIEL","","","","","G/A","ACO:ACO-RVS","","*-**-SC-STAALVORM_RVS_PROFIEL-G/A","0.18","150","252","150","10","253","CONTINUOUS","0.25","150","252","150","10","253","CONTINUOUS","0.25","150","252","150","10","253","V-CONTINUOUS-SO","0.25","150","252","150","10","253","CONTINUOUS","","","3480","3478"
"GEOTEXTIEL","*","**","VH","GEOTEXTIEL","","","","","","","G/S/A","AVH:AVH-GEOTEXTIEL","SVH:SVH-GEOTEXTIEL","*-**-VH-GEOTEXTIEL-G/S/A","0.18","60","62","60","60","254","CONTINUOUS","0.35","60","62","60","60","254","CONTINUOUS","0.25","60","62","60","60","254","ZZ-HIDDEN-SO","0.25","60","62","60","60","254","CONTINUOUS","","","2505",""
"ONVERHARD","*","**","VH","ONVERHARD","","","","","","","G","","","*-**-VH-ONVERHARD-G","0.18","210","212","210","210","243,245,246","CONTINUOUS","0.35","210","212","210","210","254","CONTINUOUS","0.35","210","212","210","210","254","V-CONTINUOUS-SO","0.35","210","212","210","210","254","CONTINUOUS","","","2936",""
"FUNDERING","*","**","VH","FUNDERING","","","","","","","G/S/A","AVH:AVH-FUNDERING","SVH:SVH-FUNDERING","*-**-VH-FUNDERING-G/S/A","0.18","7","252","7","7","254","CONTINUOUS","0.35","7","252","7","7","254","CONTINUOUS","0.25","7","252","7","7","254","V-CONTINUOUS-SO","0.25","7","252","7","7","254","CONTINUOUS","","","2492",""
"KANTOPSLUITING","*","**","VH","KANTOPSLUITING","","","","","","","G","","","*-**-VH-KANTOPSLUITING-G","0.18","7","252","7","7","253","CONTINUOUS","0.35","7","252","7","7","253","CONTINUOUS","0.25","7","252","7","7","253","V-CONTINUOUS-SO","0.25","7","252","7","7","253","CONTINUOUS","","","2360",""
"HALFVERHARDING","*","**","VH","HALFVERHARDING","","","","","","","G/S/A","","SVH:SVH-HALFVERHARDING","*-**-VH-HALFVERHARDING-G/S/A","0.18","130","132","130","130","214,214,214","CONTINUOUS","0.35","130","132","130","130","254","CONTINUOUS","0.25","130","132","130","130","254","V-CONTINUOUS-SO","0.25","130","132","130","130","254","CONTINUOUS","","","2511",""
"GOOT","*","**","VH","GOOT","","","","","","","G/S","","SVH:SVH-GOOT","*-**-VH-GOOT-G/S","0.18","170","172","170","170","253","CONTINUOUS","0.35","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","V-CONTINUOUS-SO","0.25","170","172","170","170","253","CONTINUOUS","","","2348",""
"GESLOTENVERHARDING","*","**","VH","GESLOTENVERHARDING","","","","","","","G/S/A","AVH:AVH-GESLOTEN","SVH:SVH-GESLOTEN","*-**-VH-GESLOTENVERHARDING-G/S/A","0.18","10","12","10","10","132,132,132","CONTINUOUS","0.35","10","12","10","10","254","CONTINUOUS","0.25","10","12","10","10","254","V-CONTINUOUS-SO","0.25","10","12","10","10","254","CONTINUOUS","","","3342",""
"BEDRIJFSVLOERPLAAT","*","**","VH","BEDRIJFSVLOERPLAAT","","","","","","","G/S/A","AVH:AVH-BETONPLAAT","SVH:SVH-BETONPLAAT","*-**-VH-BEDRIJFSVLOERPLAAT-G/S/A","0.18","170","172","170","170","254","CONTINUOUS","0.35","170","172","170","170","254","CONTINUOUS","0.25","170","172","170","170","254","ZZ-HIDDEN-SO","0.25","170","172","170","170","254","CONTINUOUS","","","2474",""
"DREMPEL","*","**","VH","DREMPEL","","","","","","","G","","","*-**-VH-DREMPEL-G","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.25","30","32","30","30","253","V-CONTINUOUS-SO","0.25","30","32","30","30","253","CONTINUOUS","","","2342",""
"STOOTBAND","*","**","VH","STOOTBAND","","","","","","","G/S","","SVH:SVH-STOOTBAND","*-**-VH-STOOTBAND-G/S","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","","","3050",""
"VERKEERSTEGEL","*","**","VH","VERKEERSTEGEL","","","","","","","G/S","","SVH:SVH-VERKEERSTEGEL","*-**-VH-VERKEERSTEGEL-G/S","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","","","3051",""
"KNIPLIJN","*","**","VH","KNIPLIJN","","","","","","","G","","","*-**-VH-KNIPLIJN-G","0.18","251","251","251","251","253","CONTINUOUS","0.35","251","251","251","251","253","CONTINUOUS","0.25","251","251","251","251","253","ZZ-HIDDEN-SO","0.25","251","251","251","251","253","CONTINUOUS","","","3343",""
