number,title,state,labels,milestone,release_notes
539,Uitvoeren spike NLCS verkeersborden,CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,Zie #489
540,oplevering concept informeel alignment tussen IMBOR-NLCS ,OPEN,IMBOR,Alignment NLCS-IMBOR​,
541,Vast Excel-uitwisselformaat voor tests en individuele uitwisseling,OPEN,publicatie; eisen aan NLCS applicaties,Technische backlog,
542,Opnemen in documentatie: naamgeving verkeersborden,CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,Er is een toelichting op de naamgeving van verkeersborden opgenomen in de [functionele specificatie](https://nl-digigo.github.io/NLCS/functionalspecification/5-1/#naamgeving-verkeersbord-symbolen).
543,Feedback NDW op verkeersborden in NLCS 5.1-concept,CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,"In het Reglement verkeersregels en verkeerstekens 1990 (RVV 1990) zijn de borden aangeduid met gedeeltelijk kleine en gedeeltelijk hoofdletters. Nummering begint bij 1. In de NLCS bibliotheek is gekozen voor gebruik van alleen hoofdletters, conform de standaard. Ook is een 0 voor de getallen onder de tien toegevoegd, dit zorgt voor een logische sortering van de bordsymbolen in de software. Verder zijn aanduidingen toegevoegd om varianten te onderscheiden van hetzelfde bord.  Waar de wet bijvoorbeeld bord E8a kent is dit in de symboolnaam met hoofdletters geschreven; waar de wet bord A1 ken is hier A0130 gebruikt: de 0 zorgt voor betere sortering van de bordsymbolen in de software; de toevoeging 30 omdat er een snelheidskeuze is gemaakt terwijl in de wet één naam gebruikt wordt voor alle snelheidsborden."
544,Advies verdere uitwerking relatie NLCS-IMBOR,OPEN,IMBOR,Alignment NLCS-IMBOR​,
545,Oplevering test linked data mapping NLCS 5.0 - GWSW,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
546,Feedback Verkeersborden Gelderland,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
547,welke relatie is sh:parameter,CLOSED,,Inhoudelijke issues Release 5.1,
548,VRI missende bestanden 5.1,CLOSED,VRI; VW Verkeersmaatregelen Weg,Inhoudelijke issues Release 5.1,
549,SVW-VERKEERSTEKEN_BORD_A01_030_ZH-SO.svg + x andere missen tekst Herhaling,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
550,Opmerkingen NLCS 5.1,OPEN,VW Verkeersmaatregelen Weg; VV verkeersmaatregelen vaarweg,Inhoudelijke backlog,
551,Verkeerde onderbrenging verkeersbord-symbolen,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
552,"Verkeersborden D02-RB en RO, en D02-LB en LO zijn hetzelfde",CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,"In het Reglement verkeersregels en verkeerstekens 1990 (RVV 1990) is één voorbeeld van een D2 bord opgenomen. In de praktijk zijn er vier varianten in gebruik: men kan het bord links of rechts moeten passeren, de pijl die dat aangeeft kan omhoog en naar beneden staan.  Daarom zijn in de NLCS-bibliotheek vier symbolen opgenomen: D02-RB en D02-RO, en D02-LB en DO2-LO."
553,VW: E10 en E10-ZB zijn hetzelfde bord,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
554,VW Geen SVG aanwezig van borden E10A tm/ F,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
555,"VW Verkeersborden, loze subobjectnaam Categorie bij verkeersborden niet nodig, men kan meteen catA CatB krijgen",CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,"In NLCS 5.02 was alleen een placeholder beschikbaar voor alle soorten verkeersborden: VERKEERSTEKEN_BORD (2638). Tijdens de ontwikkeling van NLCS 5.1  is eerst bedacht verkeersborden op te delen in categorieën. Er zat in eerste instantie een underscore tussen VERKEERSTEKEN_BORD_CATEGORIE en VERKEERSTEKEN_BORD_CATEGORIE_A, terwijl van alle borden de categorie bekend is zodra ze op tekening komen. Daarom is de loze laagnaam VERKEERSTEKEN_BORD_CATEGORIE vervallen en gaat men direct van VERKEERSTEKEN_BORD naar VERKEERSTEKEN_BORD_CATEGORIE A."
556,VW Geen verkeersbord E11-ZE-sleep en -klem,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
557,"Plaatsnaamborden H01,A,B en C en H02",OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
558,Toets werkgroep & expertcommissie op herziene versie stedelijk spoor voor NLCS 5.1,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
559,"Werkgroep Spoor, onderdeel 'Bovenleiding', inhoudelijke kennis gewenst",OPEN,Stedelijk Spoor; ES - energievoorziening spoor; IS installaties spoor; SB spoorbouw,Inhoudelijke backlog,
560,Afspraken genereren van svg's uit symbolen,OPEN,Symbolen; CAD<>GIS datatransformaties,Technische backlog,
561,Terugtrekken aanvulling werkgroep stedelijk spoor in hoofdgroepen AL,CLOSED,Stedelijk Spoor; AL - Algemeen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
562,Terugtrekken aanvulling werkgroep stedelijk spoor in hoofdgroep GR,CLOSED,Stedelijk Spoor; GR-Groen-inclusief-bomen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
