number,title,state,labels,milestone,release_notes
147,Onderzoeken aansluiting op IFC 4.3,OPEN,3D: IFC+Classificatie,Inhoudelijke backlog,
148,Ontwerpfasen Bouwend Nederland,CLOSED,Bespreken EC; status&bewerking; GroeipadDSGO/NLCS,Gebruikersvragen,
149,Wijzigingen / versiebeheer linked data publicatie documenteren en queries maken,CLOSED,documentation; publicatie; Vastgesteld-in-EC,Technische issues voor NLCS 5.1,
150,Database / publicatieplatform documentatie functionaliteiten,CLOSED,documentation; publicatie,NLCS release Vaststellen 5.02 als linked data​,
151,Tekeningen checken op voldoen aan NLCS,CLOSED,documentation; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
152,Keuze model voor publicatie van wijzigingen tussen versies van een standaard,CLOSED,Informatiemodel,NLCS release Vaststellen 5.02 als linked data​,
153,Handleiding wijzigingen aanleveren door expertcommissie aan database,CLOSED,documentation,NLCS release Vaststellen 5.02 als linked data​,
154,Handleiding gebruik database door softwareleveranciers,CLOSED,documentation,NLCS release Vaststellen 5.02 als linked data​,
155,transformatie / script autocad bestanden naar microstation,OPEN,BOMOS; publicatie,Inhoudelijke backlog,
156,Vaststellen welke toevoegingen gedaan moeten worden aan de linkeddatabase om dezelfde functionaliteit te bieden als de oude database,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
157,Check inhoud linkeddatapublicatie en documenteer verschillen met sql publicatie,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
158,Advies implementatieondersteuning linkeddata door softwareleveranciers,CLOSED,documentation; publicatie,NLCS release Vaststellen 5.02 als linked data​,
159,Advies implementatieondersteuning linkeddata voor expertcommissie,CLOSED,documentation; Bespreken EC; publicatie,NLCS release Vaststellen 5.02 als linked data​,
160,wat moet er gebeuren met objecten die in de SQL database op vervallen stonden?,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
161,"Rest-API versus Sparql-endpoint, ondersteuning nodig?",CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
162,Review op afbeelding: functionaliteit NLCS,CLOSED,Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
163,Foutjes Mapping BGT NLCS 5.0,CLOSED,minor fix; BGT; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
164,NLCS 5.0 namen,CLOSED,IE-inrichtingselementen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
165,Linetype tekenbladgrens,CLOSED,AL - Algemeen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
166,"Arceerpatronen grondwerk, onjuiste benamingen",CLOSED,GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
167,Arceerpatronen grond,CLOSED,Arceringen; GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
168,Arceerpatronen grond versus groen,CLOSED,GR-Groen-inclusief-bomen; GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
169,Arcering funderingen dubbele definities?,CLOSED,VH - verhardingen; Arceringen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
170, Arceringen GW versus VH-fundering,CLOSED,VH - verhardingen; Arceringen; GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
171,Kleurgebruik arceringen,CLOSED,Arceringen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
172,Hondentoilet in 'GR',CLOSED,GR-Groen-inclusief-bomen; OG-ondergrond; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
173,Maaiveld in Groen,CLOSED,GR-Groen-inclusief-bomen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
174,Voorstel: lijntypes haag,CLOSED,GR-Groen-inclusief-bomen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
175,Arcering bomengranulaat,CLOSED,GR-Groen-inclusief-bomen; Arceringen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
176,"Variant lijnstylen: staat in de standaard vanaf 5.0, maar leveranciers ondersteunen het nog niet",CLOSED,documentation; Informatiemodel; RI_riolering-en-GWSW; Lijnen; VH - verhardingen; eisen aan NLCS applicaties; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
177,"Hoe kan je in een ILS definiëren welke attributen, samenstellingen moeten worden ingevuld bij een object in het model?",OPEN,objectattributen,Inhoudelijke backlog,
178,NLCS Thesaurus publiceren,OPEN,thesaurus NLCS,Alignment NLCS-IMBOR​,
179,Beheeromgeving mapping IMBOR-NLCS inrichten,OPEN,IMBOR,Alignment NLCS-IMBOR​,
180,Linksets imbor - nlcs publiceren,OPEN,IMBOR,Alignment NLCS-IMBOR​,
181,Viewer inrichten linkset NLCS - IMBOR,OPEN,IMBOR,Alignment NLCS-IMBOR​,
182,Query NLCS - IMBOR,OPEN,IMBOR,Alignment NLCS-IMBOR​,
183,kaderrand,CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
184,Monitoren voortgang project Stedelijk Spoor,OPEN,Stedelijk Spoor,Inhoudelijke backlog,
185,Opstellen projectplan ontology alignment GWSW - NLCS,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
186,"Opstellen vaststellingsprotocol om  ""NLCS leverancier"" te worden/blijven",OPEN,BOMOS; eisen aan NLCS applicaties,Inhoudelijke backlog,
187,Monitoren voortgang project IMBOR - NLCS,OPEN,IMBOR,Alignment NLCS-IMBOR​,
188,"Opstellen toelichting bij huidige versie Stedelijk Spoor, focus op tram",CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
189,BIM Basis Infra / BIM Basis ILS -> BIM Basis Stedelijk Spoor,OPEN,Stedelijk Spoor; ILS-tekening,Inhoudelijke backlog,
190,Review concept-versie door werkgroepleden,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
191,Verkenning Informatiemodel / OTL Stedelijk Spoor,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
192,Stedelijk Spoor: SAP en GIS versus NLCS en CAD,CLOSED,Stedelijk Spoor; CAD<>GIS datatransformaties,Release Stedelijk Spoor​ Tram in NLCS 5.1,
193,Monitoren project Verkeersborden,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke backlog,
194,"Inventarisatie bebordingsbibliotheken 3 leveranciers, beoordelen adhv PvE NLCS",CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,"De NLCS bibliotheek is aangevuld met de meest voorkomende verkeersborden uit de [Reglement verkeersregels en verkeerstekens 1990 (RVV 1990)](https://wetten.overheid.nl/BWBR0004825), Categorie A t/m J. 
Van alle snelheidsborden zijn varianten gemaakt voor alle voorkomende snelheden, met ook de meest voorkomende zoneborden. Borden waarop een tekst of getal moet worden afgedrukt die meer varieert, is een symbool gemaakt waarbij de tekst nog moet worden aangevuld in het symbool. Voor de bebouwde kom borden zijn de verschillende varianten met en zonder onderteksten opgenomen. Onderborden zijn nog niet in de NLCS bibliotheek opgenomen.
Door de aanvulling van de NLCS‑bibliotheek met de meest voorkomende RVV‑verkeersborden vervalt de noodzaak voor maatwerk symbolenbibliotheken bij individuele opdrachtgevers en marktpartijen. Dit leidt tot een structurele reductie in beheer‑ en projectgebonden tekenwerk. Op basis van conservatieve aannames kan deze besparing worden ingeschat op enkele duizenden tot ruim tienduizend arbeidsuren per jaar, wat neerkomt op een maatschappelijke kostenbesparing in de orde van enkele tonnen tot meer dan één miljoen euro per jaar."
195,inventarisatie ideeen project ontology alignment GWSW - NLCS,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
196,Onderzoek naar automatisering omzetten van symbolen van CAD naar GIS,OPEN,Symbolen; CAD<>GIS datatransformaties,Inhoudelijke backlog,
197,Use case PDOK Stedelijk Water > NLCS tekening,CLOSED,documentation; RI_riolering-en-GWSW; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
198,Indienen versie 5.0 bij het Forum voor Standaardisatie,CLOSED,BOMOS,Inhoudelijke backlog,
199,Migratie bij ophogen versie standaard beter beschrijven,CLOSED,BOMOS,Inhoudelijke issues Release 5.1,
200,Handvaten bieden voor developers om sparql-query's te gebruiken,CLOSED,documentation; implementatie; publicatie,NLCS release Vaststellen 5.02 als linked data​,
201,Monitoren voortgang project Netbeheer,CLOSED,Netbeheer,Release Netbeheer​ in NLCS versie x,
202,Monitoren project RAW - NLCS,CLOSED,RAW-NLCS,Gebruikersvragen,
203,Rapporteren resultaat PoC RAW-NLCS uit 2022,CLOSED,documentation; RAW-NLCS,Gebruikersvragen,
204,Monitoren project NLCS Constructies,OPEN,BC betonconstructies,Inhoudelijke backlog,
205,Monitoren project NLCS 3D,CLOSED,Project <> Beheer,Gebruikersvragen,
206,Onderzoeken relatie CAD en GIS,CLOSED,Project <> Beheer; CAD<>GIS datatransformaties,Gebruikersvragen,
207,Monitoren project NLCS inmeting,CLOSED,Inmetingen,Gebruikersvragen,
208,COORDINAATPUNT van AL naar ZZ,CLOSED,ZZ_voor alle hoofdgroepen; AL - Algemeen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
209,"COB analyse kabels, leidingen en bomen: relevantie uitzoeken voor NLCS",CLOSED,GR-Groen-inclusief-bomen; Scope; KL kabels en leidingen,Inhoudelijke backlog,
210,"Variant lijnstijlen en kleuren: ""NLCS varianten"" publiceren ",OPEN,Bespreken EC; objectattributen; tekenvrijheid,Inhoudelijke backlog,
211,documenteren relatie NLCS met beheerders van country kits,CLOSED,documentation; 3D softwaretemplates,Inhoudelijke issues Release 5.1,
212,documenteren werking en functie van country kits voor 3D / 2D in combinatie met NLCS,CLOSED,documentation; 3D softwaretemplates,Inhoudelijke issues Release 5.1,
213,Monitoren project NLCS release Vaststellen 5.0 als linked data​,CLOSED,implementatie; publicatie,NLCS release Vaststellen 5.02 als linked data​,
214,"Monitoren project ""ontology alignment BGT-NLCS""",OPEN,BGT,Inhoudelijke backlog,
215,Query voor tabellen hoofdgroep,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
216,Opstellen query's plus opnemen toelichting in documentatie voor oude sql tabellen,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
217,query voor tabel abibliotheken,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
218,query voor tabel arceringen,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
219,query voor tabel disciplines,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
220,query voor tabel lijnkleuren,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
221,query voor tabel lijntypes,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
222,query voor tabel lijnweights,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
223,query voor tabel object,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
224,query voor tabel sbibliotheken,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
225,query voor tabel status,CLOSED,implementatie; status&bewerking,NLCS release Vaststellen 5.02 als linked data​,
226,query voor tabel symbolen,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
227,query voor tabel versies,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
228,Werken met ID's uit oude SQL database,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
229,Afbeelding maken van logisch informatiemodel van NLCS,OPEN,documentation; Informatiemodel,Inhoudelijke backlog,
230,Handleidingen / voorschriften bij objecten in CAD tonen (bijv Handboek Bomen),OPEN,documentation; GR-Groen-inclusief-bomen,Inhoudelijke issues release xx,
231,Verkenning van behoefte andere spoorse disciplines,OPEN,Stedelijk Spoor,Inhoudelijke backlog,
232,Verkenning behoefte metro,OPEN,Stedelijk Spoor,Inhoudelijke backlog,
233,"Verkenning OTL spoor voor stedelijk vervoerders i.c.m. NLCS, NEN 2660-2, ISO 19650",CLOSED,duplicate,Gebruikersvragen,
234,Symbool 'GROND' ongeldige arcering,CLOSED,GR-Groen-inclusief-bomen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
235,Use case Gelderland: IMBOR versus NLCS,CLOSED,Project <> Beheer; objectattributen; uitwisselformaat,Gebruikersvragen,
236,"Titelblok als S, niet G: overerven elementtypes? ",CLOSED,Symbolen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
237,"Symbolen, lijnstijlen en arceringen als block beschikbaar?",OPEN,Bespreken EC; Symbolen; Lijnen; Arceringen,Inhoudelijke backlog,
238,gebruikersvraag: Revit template,CLOSED,3D softwaretemplates,Gebruikersvragen,
239,NLCS object STATUS - versie 5.0 ophelderen documentatie,CLOSED,documentation; status&bewerking; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
240,Prioriteren ontwikkelroadmap voor NLCS,OPEN,BOMOS; GroeipadDSGO/NLCS,Inhoudelijke backlog,
241,FAQ's verwerken in documentatie,OPEN,documentation; Vastgesteld-in-EC,Inhoudelijke backlog,
242,Ophelderen: regels over kleurgebruik in de standaard,CLOSED,documentation; kleuren; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
243,Zijn er trainingen of cursussen beschikbaar om gebruikers te helpen bij het begrijpen en implementeren van NLCS? ,OPEN,BOMOS,Inhoudelijke backlog,
244,Check FAQ: Hoe wordt de interoperabiliteit tussen verschillende CAD-systemen gewaarborgd bij het gebruik van NLCS? ,OPEN,Bespreken EC; BOMOS; uitwisselformaat,Inhoudelijke backlog,
245,Check FAQ: Zijn er specifieke eisen of richtlijnen voor het archiveren van tekeningen die zijn gemaakt volgens de NLCS-standaard? ,OPEN,meta-informatie; Bespreken EC; BOMOS; uitwisselformaat,Inhoudelijke backlog,
246,ontbrekende objecten tbv grondscheiding,CLOSED,minor fix; GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
247,Monitoren projecten NLCS,OPEN,BOMOS,Inhoudelijke backlog,
248,Monitoren project Onderzoek uitwisseling modellen op basis van NLCS,OPEN,uitwisselformaat,Inhoudelijke backlog,
249,Vaststellen onderzoeksvragen uitwisseling modellen op basis van NLCS,CLOSED,CAD<>GIS datatransformaties; 3D: IFC+Classificatie; uitwisselformaat; 3D softwaretemplates,Gebruikersvragen,
250,Symbool 'beplanting_01 bevat ongeldig arceerpatroon,CLOSED,duplicate; GR-Groen-inclusief-bomen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
251,Omgang status 'Vervallen' i.r.t. allerlei beheer wensen / presentatie vervallen met scraps  versus rood,OPEN,Project <> Beheer; status&bewerking; kleuren; tekenvrijheid; fasering,Inhoudelijke backlog,
252,Stappenplan om tot Release NLCS Stedelijk Spoor te komen toevoegen als Milestones,CLOSED,Stedelijk Spoor; implementatie,Release Stedelijk Spoor​ Tram in NLCS 5.1,
253,symbolen niet consequent in opbouw en vloeien dicht,CLOSED,NLCS Basis; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
254,Presentatie 'perceelsgrensen',CLOSED,KG - Kadastrale informatie en grenzen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
255,Onjuiste termology drainzand,CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
256,"Eisen aan NLCS leveranciers: PDOK thema stedelijk water ""GWSW""",CLOSED,CAD<>GIS datatransformaties; eisen aan NLCS applicaties,Inhoudelijke issues Release 5.1,
257,Eisen aan NLCS leveranciers: BGT,CLOSED,CAD<>GIS datatransformaties; eisen aan NLCS applicaties,Inhoudelijke issues Release 5.1,
258,verwijzing naar 4.7e in par 3.5.6,CLOSED,documentation; duplicate; SO schaalbare objecten; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
259,Diameter in millimeters,CLOSED,documentation; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
260,Opmerkingenveld oude database ontbreekt in nieuwe,CLOSED,Informatiemodel; Bespreken EC,NLCS release Vaststellen 5.02 als linked data​,
261,Arceringen: dubbele ID's,CLOSED,Informatiemodel; Arceringen,NLCS release Vaststellen 5.02 als linked data​,
262,Disciplines: ontbreken ID's uit oude database,CLOSED,disciplines,NLCS release Vaststellen 5.02 als linked data​,
263,Impliciete informatie-onderdelen die wel in tabellen stonden in oude database,CLOSED,Informatiemodel,NLCS release Vaststellen 5.02 als linked data​,
264,Onderdelen niet gepubliceerd / foutje in query tabel hoofdgroepen?,CLOSED,Informatiemodel,NLCS release Vaststellen 5.02 als linked data​,
265,"query voor hoofdgroep, afkortingen",CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
266,ontbrekende onderdelen afkortingen hoofdgroep,CLOSED,hoofdgroepen,NLCS release Vaststellen 5.02 als linked data​,
267,hoofdgroepen geen id in nieuwe database,CLOSED,hoofdgroepen,NLCS release Vaststellen 5.02 als linked data​,
268,Molgoot in hoofdgroep riolering?,CLOSED,RI_riolering-en-GWSW; VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
269,lijnkleuren tabel lijkt niet uit linked data versie te komen?,CLOSED,Informatiemodel,NLCS release Vaststellen 5.02 als linked data​,
270,a-bibliotheken: ID & omschrijving niet in publicatie?,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
271,200 missende lijntypes in nieuwe database,CLOSED,Lijnen,NLCS release Vaststellen 5.02 als linked data​,
272,lijntype-query resulteert in brakke csv export ,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
273,tabel lijnweights uit oude bibliotheek niet te queryen,CLOSED,Informatiemodel; publicatie,NLCS release Vaststellen 5.02 als linked data​,
274,NLCS pentabellen,CLOSED,documentation; kleuren; Voorgenomen wijziging; Controversieel,Inhoudelijke backlog,
275,Kleuren grondwerklijnen aanpassen van groen naar bruinisch,CLOSED,GW-grondwerk; kleuren; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
276,"FB 3.5.2, NEN-ISO 128- 23:1999, norm bestaat niet meer",CLOSED,documentation; Lijnen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
277,KG-GRENS_KADASTRAAL en KG-GRENS_PERCEEL,CLOSED,duplicate; KG - Kadastrale informatie en grenzen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
278,NLCS.SHX inhoud i.r.t. linetypes,OPEN,Bespreken EC; Lijnen,Inhoudelijke backlog,
279,"Arceringen,  wat is VRKL_LANG?",CLOSED,documentation; Informatiemodel; Arceringen,NLCS release Vaststellen 5.02 als linked data​,
280,Arceringen: URI relatie opnemen naast de ID,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
281,"Arceringen: Wat is ""fase"" in de sql tabel? ",CLOSED,documentation; Informatiemodel; Arceringen,NLCS release Vaststellen 5.02 als linked data​,
282,Documentatie uitwisseling CAD-modellen: toelichten verschil geometrische en alfanumerieke data,CLOSED,documentation; Project <> Beheer,NLCS release Vaststellen 5.02 als linked data​,
283,symbolen: opnemen expliciete fases,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
284,OPT symbolen ontbreekt in publicatie,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
285,Arceringen: Fase niet expliciet gepubliceerd,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
286,Arceringen: OPT niet expliciet gepubliceerd,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
287,ID en naam van sbibliotheken niet in nieuwe database,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
288,"sbibliotheken, hoe omschrijvingen van de bijbehorende hoofdgroerpen te queryen",CLOSED,Informatiemodel,NLCS release Vaststellen 5.02 als linked data​,
289,tabel sbibliotheken uitleggen in documentatie standaard,CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
290,"Status ID mist in nieuwe database, is dat erg?",CLOSED,publicatie; status&bewerking,NLCS release Vaststellen 5.02 als linked data​,
291,Tabel Status: Weergave Als.. mist in nieuwe database,CLOSED,publicatie; status&bewerking,NLCS release Vaststellen 5.02 als linked data​,
292,Naast oude ID's ook zorgen voor URI's in nieuwe queries,CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
293,Gebruikersvraag: geleideband en soorten geometrie,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
294,Veel variatie in presentatie 'scraps' bij vervallen,CLOSED,Lijnen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
295,"GWSW mapping, documenteren informatiemodel",CLOSED,RI_riolering-en-GWSW,NLCS release Vaststellen 5.02 als linked data​,
296,Implementatie-eisen: kleuren en symbolen tewrugzetten naar NLCS vóór uitwisseling,CLOSED,eisen aan NLCS applicaties,NLCS release Vaststellen 5.02 als linked data​,
297,Implementatievraag: sparql-endpoint oproepen vanuit c-sharp / dotnet,CLOSED,documentation; implementatie,NLCS release Vaststellen 5.02 als linked data​,
298,Probleem vrijheidsgraden NLCS,OPEN,Bespreken EC; tekenvrijheid,Inhoudelijke backlog,
299,Implementatieverseisten NLCS applicaties: presentatie (symbology) van objecten,CLOSED,duplicate; eisen aan NLCS applicaties,Inhoudelijke issues Release 5.1,
300,Implementatievereisten NLCS applicaties: individuele toevoegingen op NLCS kunnen uitwisselen tussen leveranciers ,OPEN,eisen aan NLCS applicaties; organisatiebibliotheken,Inhoudelijke backlog,
301,"Implementatievereisten NLCS applicaties: controle modellen, aanvullen met testtekeningen van DigiGO",OPEN,tekeningen-valideren; eisen aan NLCS applicaties,Inhoudelijke backlog,
302,Klic2NLCS?,OPEN,Netbeheer; CAD<>GIS datatransformaties; Scope,Inhoudelijke backlog,
303,Vanaf linked data publicatie juiste link naar symbolengeven,CLOSED,documentation; Informatiemodel; publicatie,NLCS release Vaststellen 5.02 als linked data​,
304,Query naar laces platform om te vragen of er een nieuwe versie is,OPEN,implementatie; Vastgesteld-in-EC,Inhoudelijke backlog,
305,Dilemma: uitwisseling alfanumerieke data over objecten opnemen als eis aan NLCS applicaties en  uitwisselformaat voorschrijven?,OPEN,eisen aan NLCS applicaties; objectattributen,Inhoudelijke backlog,
306,Onderzoeken CAD/Geo uitwisselformaten in relatie tot NLCS,OPEN,uitwisselformaat,Inhoudelijke backlog,
307,Monitoren voortgang vaststellen eisen aan NLCS applicaties,CLOSED,BOMOS; eisen aan NLCS applicaties,NLCS release Vaststellen 5.02 als linked data​,
308,NLCS versus 3D BIM: praktijkproblemen,CLOSED,documentation; Project <> Beheer,Gebruikersvragen,
309,Kaders als niet SO?,CLOSED,documentation; duplicate; AL - Algemeen; SO schaalbare objecten; uitwisselformaat,Inhoudelijke issues Release 5.1,
310,Disciplines invulling verschilt per organisatie,OPEN,documentation; Bespreken EC; disciplines; discipline-ter-discussie,Inhoudelijke backlog,
311,Link naar voorbeeld tekeningen niet meer actueel,CLOSED,,Inhoudelijke issues Release 5.1,
312,AutoCAD Hatch met 'achtergrondkleur,OPEN,Arceringen; arcering-met-achtergrondkleur; gemak gebruiker,Inhoudelijke backlog,
313,"Symbolen, fout in publicatie",CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
314,Monitoring issue: besluitvorming nlcs verkeersborden door opdrachtgever,CLOSED,VW Verkeersmaatregelen Weg; besluit OG; Release note,Release Verkeersborden in NLCS 5.1,: Zie #194
315,Ter besluit OG: in NLCS wel/niet overnemen van 10- en 100 borden op verkeersbordenoverzicht.nl,CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,zie #194
316,ter besluit og: verkeersborden svg's genereren uit CAD bestanden,CLOSED,VW Verkeersmaatregelen Weg; besluit OG; Release note,Release Verkeersborden in NLCS 5.1,"Bij de verkeersbordenbibliotheek voor de NLCS standaard zijn naast CAD-symbolen ook svg-afbeeldingen gemaakt van alle verkeersborden. Deze symbolen maken het mogelijk dat de verkeersborden in CAD-tekeningen er net zo uitzien als in een GIS-kaart bijvoorbeeld in het George dataportaal. In het huidige George-dataportaal worden eenvoudige svg's gebruikt waarbij bijvoorbeeld de snelheid niet in het bord is afgebeeld, maar in een tekst naast het bord. De visualisatie met svg-afbeeldingen vanuit NLCS is veel duidelijker en toont gewoon het snelheidsbord zoals de weggebruiker deze ziet. Deze SVG's hebben niet de kwaliteit om gebruikt te worden bij het fysiek produceren van verkeersborden maar zijn bedoeld om op een kaart in een beeldscherm goed over te komen."
317,"Ter besluit OG: in NLCS beperkt aantal borden opnemen, faciliteren van nieuwe codering VNVF via koppeling met informatiemodel",CLOSED,VW Verkeersmaatregelen Weg; besluit OG; Release note,Release Verkeersborden in NLCS 5.1,: Zie #194
318,Ter besluit OG: Afwijking verkeersborden symbolen van NEN productienormen,CLOSED,VW Verkeersmaatregelen Weg; Release note,Release Verkeersborden in NLCS 5.1,"Bij de verkeersbordenbibliotheek voor de NLCS standaard zijn CAD-symbolen en svg-afbeeldingen gemaakt van verkeersborden. De kleuren en maten van de symbolen wijken af van de NEN-productienormen. Dit is bewust gedaan, omdat de afbeelding van de borden op een tekening of op een beeldscherm veel kleiner is, en hierbij andere eisen gelden voor de leesbaarheid van het verkeersbord."
319,Continue updates NLCS,CLOSED,,Gebruikersvragen,
320,De huidige werkwijze voor disciplines moet worden opgehelderd in de uitleg standaard,CLOSED,disciplines; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
321,Outdated link in eisen aan tekeningen en modellen,CLOSED,,Inhoudelijke issues Release 5.1,
322,[NLCS NBH] NLCS Netbeheer gebundelde wijziging 2024Q1,CLOSED,Netbeheer; Bespreken EC,Release Netbeheer​ in NLCS versie x,
323,[NLCS NBH] 1. Vaste posities ten behoeve van Laagbenamingen NLCS-Netbeheer,CLOSED,Netbeheer; Bespreken EC; laagnamen,Release Netbeheer​ in NLCS versie x,
324,[NLCS NBH] 2.	NLCS subobject02 (Subnettype),CLOSED,documentation; Netbeheer; Bespreken EC; laagnamen,Release Netbeheer​ in NLCS versie x,
325,[NLCS NBH] 3. Gebruik van speciale tekens in laag- en symboolnamen,CLOSED,Netbeheer; laagnamen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
326,[NLCS NBH] 4. Hoofdlettergebruik,CLOSED,Netbeheer; Bespreken EC; laagnamen,Release Netbeheer​ in NLCS versie x,
327,[NLCS NBH] 5. Status soorten en waarden,CLOSED,Netbeheer; Bespreken EC; status&bewerking,Release Netbeheer​ in NLCS versie x,
328,[NLCS NBH] 6. Bewerkingen,CLOSED,Netbeheer; Bespreken EC; status&bewerking,Release Netbeheer​ in NLCS versie x,
329,Overbodige symbolen aarding,CLOSED,KL kabels en leidingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
330,Advies Form voor standaardisatie opnemen NLCS 5.0 in GEMMA,CLOSED,BOMOS,Gebruikersvragen,
