omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BESCHOEIING3_DAMWAND_HOUT,*,-,**,-,GK,-,BESCHOEIING3,_,DAMWAND,_,HOUT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_DAMWAND_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,340,,
BESCHOEIING3_DAMWAND_KUNSTSTOF,*,-,**,-,GK,-,BESCHOEIING3,_,DAMWAND,_,KUNSTSTOF,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_DAMWAND_KUNSTSTOF-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,340,,
BESCHOEIING3_DAMWAND_STAAL,*,-,**,-,GK,-,BESCHOEIING3,_,DAMWAND,_,STAAL,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_DAMWAND_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,340,,
BESCHOEIING3_HOUT,*,-,**,-,GK,-,BESCHOEIING3,_,HOUT,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,339,,
BESCHOEIING3_HOUT_SCHOT,*,-,**,-,GK,-,BESCHOEIING3,_,HOUT,_,SCHOT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_HOUT_SCHOT-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,345,,
BESCHOEIING3_KUNSTSTOF,*,-,**,-,GK,-,BESCHOEIING3,_,KUNSTSTOF,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_KUNSTSTOF-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,339,,
BESCHOEIING3_KUNSTSTOF_SCHOT,*,-,**,-,GK,-,BESCHOEIING3,_,KUNSTSTOF,_,SCHOT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_KUNSTSTOF_SCHOT-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,350,,
BESCHOEIING3_STAAL,*,-,**,-,GK,-,BESCHOEIING3,_,STAAL,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,339,,
BOUWKUIP,*,-,**,-,GK,-,BOUWKUIP,,,,,,,,,,,,,-,G,,,,,*-**-GK-BOUWKUIP-G,0.18,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,V-CONTINUOUS-SO,0.35,210,212,210,210,253,CONTINUOUS,,,307,0,,
BOUWKUIP_COMBIWAND,*,-,**,-,GK,-,BOUWKUIP,_,COMBIWAND,,,,,,,,,,,-,G,,,,,*-**-GK-BOUWKUIP_COMBIWAND-G,0.18,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,V-CONTINUOUS-SO,0.35,210,212,210,210,253,CONTINUOUS,,,313,307,,
BOUWKUIP_DAMWAND,*,-,**,-,GK,-,BOUWKUIP,_,DAMWAND,,,,,,,,,,,-,G,,,,,*-**-GK-BOUWKUIP_DAMWAND-G,0.18,210,212,210,210,253,GK-DAMWAND-SO,0.35,210,212,210,210,253,GK-DAMWAND-SO,0.35,210,212,210,210,253,V-GK-DAMWAND-SO,0.35,210,212,210,210,253,GK-DAMWAND-SO,,,308,307,,
BOUWKUIP_DAMWAND_BETON,*,-,**,-,GK,-,BOUWKUIP,_,DAMWAND,_,BETON,,,,,,,,,-,G,,,,,*-**-GK-BOUWKUIP_DAMWAND_BETON-G,0.18,210,212,210,210,253,GK-DAMWAND-SO,0.35,210,212,210,210,253,GK-DAMWAND-SO,0.35,210,212,210,210,253,V-GK-DAMWAND-SO,0.35,210,212,210,210,253,GK-DAMWAND-SO,,,311,308,,
