omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
GROND_AFVAL,*,-,**,-,GW,-,GROND,_,AFVAL,,,,,,,,,,,-,G/A,,,AGW-GROND_AFVAL,,*-**-GW-GROND_AFVAL-G/A,0.18,7,7,7,7,"084,095,057",CONTINUOUS,0.35,7,7,7,7,"084,095,057",CONTINUOUS,0.35,7,7,7,7,"084,095,057",V-CONTINUOUS-SO,0.35,7,7,7,7,"084,095,057",CONTINUOUS,,,483,477,,
GROND_AFVAL-WERK,*,-,**,-,GW,-,GROND,_,AFVAL,,,,,,,,,-,WERK,-,G/A,,,AGW-WERK,,*-**-GW-GROND_AFVAL-WERK-G/A,0.18,7,7,7,7,"084,095,057",CONTINUOUS,0.35,7,7,7,7,"084,095,057",CONTINUOUS,0.35,7,7,7,7,"084,095,057",V-CONTINUOUS-SO,0.35,7,7,7,7,"084,095,057",CONTINUOUS,,,484,483,,
GROND_BOMENGROND,*,_,**,_,GW,_,GROND,_,BOMENGROND,_,,_,,_,,_,,-,,-,G/A/S,-,,AGW-GROND_BOMENGROND,SGW-GRONDSOORTEN_BOMENGROND,*_**_GW_GROND_BOMENGROND,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,,,4765,477,http://digitalbuildingdata.tech/nlcs/def/2c1b162d-8a34-446c-8678-363a417ec4fb,http://digitalbuildingdata.tech/nlcs/def/d76e53e8-22d7-4ec0-a1a2-ef85d830006c
GROND_BOMENGROND-WERK,*,_,**,_,GW,_,GROND,_,BOMENGROND,_,,_,,_,,_,,-,GRONDWERK,-,G/A/S,-,,AGW-GRONDWERK,SGW-GRONDSOORTEN_BOMENGROND,*_**_GW_GROND_BOMENGROND-GRONDWERK,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,,,4766,4765,http://digitalbuildingdata.tech/nlcs/def/5adfd61b-8ed5-48af-aee2-b56395a403f4,http://digitalbuildingdata.tech/nlcs/def/2c1b162d-8a34-446c-8678-363a417ec4fb
GROND_BOMENZAND,*,_,**,_,GW,_,GROND,_,BOMENZAND,_,,_,,_,,_,,-,,-,G/A/S,-,,AGW-GROND_BOMENZAND,SGW-GRONDSOORTEN_BOMENZAND,*_**_GW_GROND_BOMENZAND,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,,,4767,477,http://digitalbuildingdata.tech/nlcs/def/3cce0955-6787-4d15-bd6b-89ad3c9ad977,http://digitalbuildingdata.tech/nlcs/def/d76e53e8-22d7-4ec0-a1a2-ef85d830006c
GROND_BOMENZAND-WERK,*,_,**,_,GW,_,GROND,_,BOMENZAND,_,,_,,_,,_,,-,GRONDWERK,-,G/A/S,-,,AGW-GRONDWERK,SGW-GRONDSOORTEN_BOMENZAND,*_**_GW_GROND_BOMENZAND-GRONDWERK,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,,,4768,4767,http://digitalbuildingdata.tech/nlcs/def/37909e8f-8d37-469c-b0e0-c3753970a841,http://digitalbuildingdata.tech/nlcs/def/3cce0955-6787-4d15-bd6b-89ad3c9ad977
GROND_GRIND,*,-,**,-,GW,-,GROND,_,GRIND,,,,,,,,,,,-,G/A,,,AGW-GROND_GRIND,,*-**-GW-GROND_GRIND-G/A,0.18,7,7,7,7,"181,168,190",CONTINUOUS,0.35,7,7,7,7,"181,168,190",CONTINUOUS,0.35,7,7,7,7,"181,168,190",V-CONTINUOUS-SO,0.35,7,7,7,7,"181,168,190",CONTINUOUS,,,485,477,,
GROND_GRIND-WERK,*,-,**,-,GW,-,GROND,_,GRIND,,,,,,,,,-,WERK,-,G/A,,,AGW-WERK,,*-**-GW-GROND_GRIND-WERK-G/A,0.18,7,7,7,7,"181,168,190",CONTINUOUS,0.35,7,7,7,7,"181,168,190",CONTINUOUS,0.35,7,7,7,7,"181,168,190",V-CONTINUOUS-SO,0.35,7,7,7,7,"181,168,190",CONTINUOUS,,,486,485,,
GROND_GRINDIG,*,-,**,-,GW,-,GROND,_,GRINDIG,,,,,,,,,,,-,G/A,,,AGW-GROND,,*-**-GW-GROND_GRINDIG-G,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",V-CONTINUOUS-SO,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,3002,477,,
GROND_GROND,*,_,**,_,GW,_,GROND,_,GROND,_,,_,,_,,_,,-,,-,G/A/S,-,,AGW-GROND_GROND,SGW-GRONDSOORTEN_GROND,*_**_GW_GROND_GROND,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,4769,477,http://digitalbuildingdata.tech/nlcs/def/0ab4a492-e4ab-4e15-b900-11cde0b49f97,http://digitalbuildingdata.tech/nlcs/def/d76e53e8-22d7-4ec0-a1a2-ef85d830006c
GROND_GROND-WERK,*,_,**,_,GW,_,GROND,_,GROND,_,,_,,_,,_,,-,GRONDWERK,-,G/A/S,-,,AGW-GRONDWERK,SGW-GRONDSOORTEN_GROND,*_**_GW_GROND_GROND-GRONDWERK,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,4770,4769,http://digitalbuildingdata.tech/nlcs/def/c3f2a787-bdce-455c-9210-911247292a7f,http://digitalbuildingdata.tech/nlcs/def/0ab4a492-e4ab-4e15-b900-11cde0b49f97
GROND_HUMEUS,*,-,**,-,GW,-,GROND,_,HUMEUS,,,,,,,,,,,-,G/A,,,AGW-GROND,,*-**-GW-GROND_HUMEUS-G,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",V-CONTINUOUS-SO,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,3003,477,,
GROND_KERNMATERIAAL,*,-,**,-,GW,-,GROND,_,KERNMATERIAAL,,,,,,,,,,,-,G/A,,,AGW-GROND,,*-**-GW-GROND_KERNMATERIAAL-G,0.18,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",V-CONTINUOUS-SO,0.35,7,7,7,7,"056,067,070",CONTINUOUS,,,487,477,,
GROND_KERNMATERIAAL-WERK,*,-,**,-,GW,-,GROND,_,KERNMATERIAAL,,,,,,,,,-,WERK,-,G/A,,,AGW-WERK,,*-**-GW-GROND_KERNMATERIAAL-WERK-G/A,0.18,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",V-CONTINUOUS-SO,0.35,7,7,7,7,"056,067,070",CONTINUOUS,,,488,487,,
GROND_KLEI,*,-,**,-,GW,-,GROND,_,KLEI,,,,,,,,,,,-,G/A,,,AGW-GROND_KLEI,,*-**-GW-GROND_KLEI-G/A,0.18,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",V-CONTINUOUS-SO,0.35,7,7,7,7,"056,067,070",CONTINUOUS,,,489,477,,
GROND_KLEI-WERK,*,-,**,-,GW,-,GROND,_,KLEI,,,,,,,,,-,WERK,-,G/A,,,AGW-WERK,,*-**-GW-GROND_KLEI-WERK-G/A,0.18,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",CONTINUOUS,0.35,7,7,7,7,"056,067,070",V-CONTINUOUS-SO,0.35,7,7,7,7,"056,067,070",CONTINUOUS,,,490,489,,
GROND_KLEIIG,*,-,**,-,GW,-,GROND,_,KLEIIG,,,,,,,,,,,-,G/A,,,AGW-GROND,,*-**-GW-GROND_KLEIIG-G,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",V-CONTINUOUS-SO,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,3004,477,,
GROND_PUIN,*,-,**,-,GW,-,GROND,_,PUIN,,,,,,,,,,,-,G/A,,,AGW-GROND,,*-**-GW-GROND_PUIN-G,0.18,7,7,7,7,"068,088,124",CONTINUOUS,0.35,7,7,7,7,"068,088,124",CONTINUOUS,0.35,7,7,7,7,"068,088,124",V-CONTINUOUS-SO,0.35,7,7,7,7,"068,088,124",CONTINUOUS,,,491,477,,
GROND_PUIN-WERK,*,-,**,-,GW,-,GROND,_,PUIN,,,,,,,,,-,WERK,-,G/A,,,AGW-WERK,,*-**-GW-GROND_PUIN-WERK-G/A,0.18,7,7,7,7,"068,088,124",CONTINUOUS,0.35,7,7,7,7,"068,088,124",CONTINUOUS,0.35,7,7,7,7,"068,088,124",V-CONTINUOUS-SO,0.35,7,7,7,7,"068,088,124",CONTINUOUS,,,492,491,,
GROND_SCHEIDINGLAAG,*,-,**,-,GW,-,GROND,_,SCHEIDINGLAAG,,,,,,,,,,,-,G/A,,,AGW-GROND,,*-**-GW-GROND_SCHEIDINGLAAG-G,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",V-CONTINUOUS-SO,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,3001,477,,
