OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN;
CV;*;-;**;-;KL;-;CV;;;;;;;;;;;;;-;G;;;;;*-**-KL-CV-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;645;0;
CV_HUISAANSLUITING;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;;;;;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;646;645;
CV_HUISAANSLUITING_GVK;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;GVK;;;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_GVK-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;647;646;
CV_HUISAANSLUITING_GVK_100;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;GVK;_;100;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_GVK_100-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;648;647;
CV_HUISAANSLUITING_GVK_150;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;GVK;_;150;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_GVK_150-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;649;647;
CV_HUISAANSLUITING_GVK_25;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;GVK;_;25;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_GVK_25-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;650;647;
CV_HUISAANSLUITING_GVK_40;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;GVK;_;40;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_GVK_40-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;651;647;
CV_HUISAANSLUITING_GVK_50;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;GVK;_;50;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_GVK_50-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;652;647;
CV_HUISAANSLUITING_GVK_80;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;GVK;_;80;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_GVK_80-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;653;647;
CV_HUISAANSLUITING_STAAL;*;-;**;-;KL;-;CV;_;HUISAANSLUITING;_;STAAL;;;;;;;;;-;G;;;;;*-**-KL-CV_HUISAANSLUITING_STAAL-G;0.18;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;0.35;40;42;40;40;40;V-KL-CV-SO;0.35;40;42;40;40;40;KL-CV-SO;;;2.3;;;654;646;
