omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
SWA_HULPSTUK_KEERKLEP;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;KEERKLEP;;;;;;;;;-;G/S;;;;SRI-HULP_KEERKLEP;*-**-RI-SWA_HULPSTUK_KEERKLEP-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3870;2086;;
SWA_HULPSTUK_ONTLUCHTING;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;ONTLUCHTING;;;;;;;;;-;G/S;;;;SRI-HULP_ONTLUCHTING;*-**-RI-SWA_HULPSTUK_ONTLUCHTING-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3871;2086;;
SWA_HULPSTUK_ONTSTOPPINGSSTUK;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;ONTSTOPPINGSSTUK;;;;;;;;;-;G;;;;;*-**-RI-SWA_HULPSTUK_ONTSTOPPINGSSTUK-G;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2089;2086;;
SWA_HULPSTUK_SCHOONMAAKSTUK;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;SCHOONMAAKSTUK;;;;;;;;;-;G/S;;;;SRI-HULP_SCHOONMAAKSTUK;*-**-RI-SWA_HULPSTUK_SCHOONMAAKSTUK-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3872;2086;;
SWA_HULPSTUK_SPUIKRAAN;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;SPUIKRAAN;;;;;;;;;-;G/S;;;;SRI-HULP_SPUIKRAAN;*-**-RI-SWA_HULPSTUK_SPUIKRAAN-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3873;2086;;
SWA_HULPSTUK_VERLOOPSTUK;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;VERLOOPSTUK;;;;;;;;;-;G/S;;;;SRI-HULP_VERLOOPSTUK;*-**-RI-SWA_HULPSTUK_VERLOOPSTUK-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3874;2086;;
SWA_HULPSTUK_VLINDERKLEP;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;VLINDERKLEP;;;;;;;;;-;G/S;;;;SRI-HULP_VLINDERKLEP;*-**-RI-SWA_HULPSTUK_VLINDERKLEP-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3875;2086;;
SWA_KOLK;*;-;**;-;RI;-;SWA;_;KOLK;;;;;;;;;;;-;G/S;;;;SRI-KOLK;*-**-RI-SWA_KOLK-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2090;2083;;
SWA_KOLK-OPHOOGTEBRENGEN;*;-;**;-;RI;-;SWA;_;KOLK;;;;;;;;;-;OPHOOGTEBRENGEN;-;G/S;;;;SRI-KOLK;*-**-RI-SWA_KOLK-OPHOOGTEBRENGEN-G/S;0.18;130;132;130;130;253;RI-OPHOOGTEBRENGEN-SO;0.35;130;132;130;130;253;RI-OPHOOGTEBRENGEN-SO;0.35;130;132;130;130;253;V-RI-OPHOOGTEBRENGEN-SO;0.35;130;132;130;130;253;RI-OPHOOGTEBRENGEN-SO;;;3877;2090;;
SWA_KOLK_COMBIKOLK;*;-;**;-;RI;-;SWA;_;KOLK;_;COMBIKOLK;;;;;;;;;-;G/S;;;;SRI-KOLK_COMBINATIE;*-**-RI-SWA_KOLK_COMBIKOLK-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2091;2090;;
