omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BEPLANTING_NATUUR_BOS,*,-,**,-,GR,-,BEPLANTING,_,NATUUR,_,BOS,,,,,,,,,-,G,,,,,*-**-GR-BEPLANTING_NATUUR_BOS-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,2898,2896,,
BEPLANTING_NATUUR_BOSPLANTSOEN,*,-,**,-,GR,-,BEPLANTING,_,NATUUR,_,BOSPLANTSOEN,,,,,,,,,-,G/A/S,,,AGR-BOSPLANTSOEN,SGR-BOSPLANTSOEN,*-**-GR-BEPLANTING_NATUUR_BOSPLANTSOEN-G/A/S,0.18,90,92,90,90,253,GR-PLANTSOEN-SO,0.35,90,92,90,90,253,GR-PLANTSOEN-SO,0.35,90,92,90,90,253,V-GR-PLANTSOEN-SO,0.35,90,92,90,90,253,GR-PLANTSOEN-SO,,,2897,2896,,
BLOEMBAK,*,-,**,-,GR,-,BLOEMBAK,,,,,,,,,,,,,-,G/S,,,,SGR-BLOEMBAK,*-**-GR-BLOEMBAK-G/S,0.13,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.35,80,82,80,80,253,CONTINUOUS,,,3502,0,,
BOLLEN,*,-,**,-,GR,-,BOLLEN,,,,,,,,,,,,,-,G/A/S,,,AGR-BOLLEN,SGR-BOLLEN,*-**-GR-BOLLEN-G/A/S,0.13,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,396,0,,
BOMENRIJ,*,-,**,-,GR,-,BOMENRIJ,,,,,,,,,,,,,-,G/S,,,,SGR-BOMENRIJ,*-**-GR-BOMENRIJ-G/S,0.13,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.35,80,82,80,80,253,CONTINUOUS,,,3384,0,,
BOOM,*,-,**,-,GR,-,BOOM,,,,,,,,,,,,,-,G/S,,,,SGR-BOOM,*-**-GR-BOOM-G/S,0.13,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.35,80,82,80,80,253,CONTINUOUS,,,360,0,,
BOOM_BEVEERD,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,,_,,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4181,360,,
BOOM_BEVEERD_1E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,1E GROOTTE,_,,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_1E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4182,4181,,
BOOM_BEVEERD_2E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,2E GROOTTE,_,,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_2E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4183,4181,,
BOOM_BEVEERD_3E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,3E GROOTTE,_,,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_3E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4184,4181,,
