omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
GESLOTENVERHARDING_ASFALT_GIETASFALT;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;GIETASFALT;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_GIETASFALT-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2466;2464;;
GESLOTENVERHARDING_ASFALT_GROEN;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;GROEN;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_GROEN-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2467;2464;;
GESLOTENVERHARDING_ASFALT_ONDERLAAG;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;ONDERLAAG;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_ONDERLAAG-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3011;2464;;
GESLOTENVERHARDING_ASFALT_ONDERLAAG_1;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;ONDERLAAG;_;1;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_ONDERLAAG_1-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3012;3011;;
GESLOTENVERHARDING_ASFALT_ONDERLAAG_2;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;ONDERLAAG;_;2;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_ONDERLAAG_2-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3013;3011;;
GESLOTENVERHARDING_ASFALT_ROOD;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;ROOD;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_ROOD-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2468;2464;;
GESLOTENVERHARDING_ASFALT_SLIJTLAAG;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;SLIJTLAAG;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_SLIJTLAAG-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2942;2464;;
GESLOTENVERHARDING_ASFALT_SLIJTLAAG_ROOD;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;SLIJTLAAG;_;ROOD;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_SLIJTLAAG_ROOD-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2943;2942;;
GESLOTENVERHARDING_ASFALT_TUSSENLAAG;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;TUSSENLAAG;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_TUSSENLAAG-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3015;2464;;
GESLOTENVERHARDING_ASFALT_TUSSENLAAG_1;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;TUSSENLAAG;_;1;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_TUSSENLAAG_1-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3016;3015;;
GESLOTENVERHARDING_ASFALT_TUSSENLAAG_2;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;TUSSENLAAG;_;2;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_TUSSENLAAG_2-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3017;3015;;
GESLOTENVERHARDING_ASFALT_WIT;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;WIT;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_WIT-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2469;2464;;
GESLOTENVERHARDING_ASFALT_ZAAGSNEDE;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;ZAAGSNEDE;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_ZAAGSNEDE-G;;;;;;;;0.25;7;7;7;7;253;VH-ZAAGSNEDE-SO;;;;;;;;;;;;;;;;;2470;2464;;
GESLOTENVERHARDING_ASFALT_ZOAB;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;ZOAB;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_ZOAB-G;0.18;10;12;10;10;254;CONTINUOUS;0.35;10;12;10;10;254;CONTINUOUS;0.25;10;12;10;10;254;ZZ-HIDDEN-SO;0.25;10;12;10;10;254;CONTINUOUS;;;2471;2464;;
GESLOTENVERHARDING_BENTONIET;*;-;**;-;VH;-;GESLOTENVERHARDING;_;BENTONIET;;;;;;;;;;;-;G/S/A;;;AVH-BENTONIET;SVH-BENTONIET;*-**-VH-GESLOTENVERHARDING_BENTONIET-G/S/A;0.18;10;12;10;10;254;CONTINUOUS;0.35;10;12;10;10;254;CONTINUOUS;0.25;10;12;10;10;254;ZZ-HIDDEN-SO;0.25;10;12;10;10;254;CONTINUOUS;;;2482;3342;;
GESLOTENVERHARDING_BETON;*;-;**;-;VH;-;GESLOTENVERHARDING;_;BETON;;;;;;;;;;;-;G/S/A;;;AVH-BETON;SVH-BETON;*-**-VH-GESLOTENVERHARDING_BETON-G/S/A;0.18;10;12;10;10;132,132,132;CONTINUOUS;0.35;10;12;10;10;254;CONTINUOUS;0.25;10;12;10;10;254;ZZ-HIDDEN-SO;0.25;10;12;10;10;254;CONTINUOUS;;;2484;3342;;
