;;; File   : RTW_rtwbreed_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: rtwbreed

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Afscheidingen                                                                                                                             21 
2   gk-damwand                              18   213       damwand        35   210       damwand        35   210       damwand_v           Damwand
3   gk-deksloof                             18   7         continuous     35   7         continuous     35   7         continuous          Deksloof
4   gk-folie                                18   7         continuous     35   7         continuous     35   7         continuous          Folie
5   gk-gording                              18   7         continuous     35   7         continuous     35   7         continuous          Gording
6   gk-houtendamwand                        18   7         continuous     35   7         continuous     35   7         continuous          Houten damwand
7   gk-kademuur                             18   213       kademuur       35   210       kademuur       35   210       kademuur_v          Kademuur
8   gk-keerwand                             18   7         keerwand       35   7         keerwand       35   7         keerwand_v          Keerwand
9   gk-trarmee                              18   7         continuous     35   7         continuous     35   7         continuous          Terre armee
10  gk-verankering                          18   7         continuous     35   7         continuous     35   7         continuous          Verankering
11  gk-contour_z                            18   8         continuous     35   7         continuous     35   7         continuous          Algemeen-contouren zichtbaar
12  gk-contour_nz                           18   8         rtwdashed50    35   7         rtwdashed50    35   7         rtwdashed50         Algemeen-contouren niet zichtbaar
13  gk-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
14  gk-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
15  gk-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometriee
16  gk-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
17  ------------------------------------------
18  gk-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
19  gk-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
20  gk-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
21  gk-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
22  gk-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
